Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume USD
2018-05-28,LSKUSD,9,9,8.21,8.21,3.22,26.41
2018-05-27,LSKUSD,9,9,9,9,0.0,0.0
2018-05-26,LSKUSD,9,9,9,9,0.0,0.0
2018-05-25,LSKUSD,9,9,9,9,0.0,0.0
2018-05-24,LSKUSD,9,9,9,9,1.47,13.23
2018-05-23,LSKUSD,10.8,10.98,9,9,526.28,5143.13
2018-05-22,LSKUSD,10.6,10.81,10.6,10.8,53.07,573.2
2018-05-21,LSKUSD,10.6,10.6,10.6,10.6,0.0,0.0
2018-05-20,LSKUSD,10.6,10.6,10.59,10.6,5.15,54.58
2018-05-19,LSKUSD,10.22,10.61,10.22,10.6,36.58,386.93
2018-05-18,LSKUSD,10.22,10.22,10.22,10.22,0.0,0.0
2018-05-17,LSKUSD,10.22,10.22,10.22,10.22,2.0,20.39
2018-05-16,LSKUSD,10.22,10.22,10.22,10.22,0.2838,2.9
2018-05-15,LSKUSD,10.22,10.22,10.22,10.22,6.2,63.35
2018-05-14,LSKUSD,11.01,11.01,10.22,10.22,6.33,64.71
2018-05-13,LSKUSD,11.49,11.49,10.14,11.01,18.64,204.71
2018-05-12,LSKUSD,11.49,11.49,11.49,11.49,0.0,0.0
2018-05-11,LSKUSD,11.5,11.5,10.1,11.49,149.08,1525.54
2018-05-10,LSKUSD,11.3,11.5,11.3,11.5,7.18,82.5
2018-05-09,LSKUSD,12.2,12.2,11.3,11.3,93.84,1133.39
2018-05-08,LSKUSD,12.7,12.7,12.2,12.2,1.35,16.52
2018-05-07,LSKUSD,13.9,13.9,12.7,12.7,15.43,196.06
2018-05-06,LSKUSD,13.04,14.01,12.51,13.9,48.44,635.26
2018-05-05,LSKUSD,13.03,13.04,13.03,13.04,0.07745,1.01
2018-05-04,LSKUSD,14.11,14.55,12.93,13.03,22.06,319.01
2018-05-03,LSKUSD,13.89,14.11,13.89,14.11,19.45,273.44
2018-05-02,LSKUSD,12.87,14,12.87,13.89,43.9,603.87
2018-05-01,LSKUSD,12.88,12.88,12.87,12.87,12.08,155.41
2018-04-30,LSKUSD,12.19,12.88,10.87,12.88,105.52,1286.11
2018-04-29,LSKUSD,10.63,12.19,10.63,12.19,6.6,80.44
2018-04-28,LSKUSD,10.63,10.63,10.63,10.63,0.0,0.0
2018-04-27,LSKUSD,10.6,12.48,10.6,10.63,0.09144,1.05
2018-04-26,LSKUSD,10.6,10.6,10.6,10.6,0.0,0.0
2018-04-25,LSKUSD,12.51,12.9,10.2,10.6,589.5,7480.05
