Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REP,Volume ETH
2017-12-29,REPETH,0.1029,0.1056,0.09817,0.1031,4035.94,414.12
2017-12-28,REPETH,0.1086,0.1089,0.09714,0.1029,930.66,94.93
2017-12-27,REPETH,0.1134,0.1136,0.105,0.1086,953.04,102.48
2017-12-26,REPETH,0.09949,0.1186,0.09949,0.1134,9425.06,1035.51
2017-12-25,REPETH,0.1029,0.1031,0.09336,0.09949,964.42,93.28
2017-12-24,REPETH,0.1072,0.1072,0.1001,0.1029,1382.69,141.99
2017-12-23,REPETH,0.09523,0.1239,0.09107,0.1072,9366.57,1054.12
2017-12-22,REPETH,0.1075,0.1147,0.08408,0.09523,8734.48,841.69
2017-12-21,REPETH,0.1127,0.13,0.09894,0.1075,15317.41,1780.94
2017-12-20,REPETH,0.1286,0.1341,0.1052,0.1127,12114.92,1396.68
2017-12-19,REPETH,0.07095,0.1328,0.06692,0.1286,63317.59,7099.97
2017-12-18,REPETH,0.06079,0.07106,0.05973,0.07095,4738.56,312.32
2017-12-17,REPETH,0.06033,0.0627,0.05769,0.06079,3205.16,193.8
2017-12-16,REPETH,0.05383,0.06596,0.05192,0.06033,8121.16,495.9
2017-12-15,REPETH,0.05349,0.056,0.0505,0.05383,3186.01,172.23
2017-12-14,REPETH,0.05082,0.05513,0.049,0.05349,4739.84,253.96
2017-12-13,REPETH,0.05315,0.05753,0.0488,0.05082,2948.04,154.58
2017-12-12,REPETH,0.06101,0.06273,0.052,0.05315,3264.7,187.64
2017-12-11,REPETH,0.06357,0.067,0.0587,0.06101,2739.63,173.04
2017-12-10,REPETH,0.06082,0.0756,0.057,0.06357,3397.88,228.14
2017-12-09,REPETH,0.0677,0.0677,0.058,0.06082,1223.78,75.02
2017-12-08,REPETH,0.06409,0.068,0.05605,0.0677,3168.76,199.54
2017-12-07,REPETH,0.0742,0.0766,0.064,0.06409,9590.35,674.57
2017-12-06,REPETH,0.07892,0.08095,0.07058,0.0742,3549.99,267.47
2017-12-05,REPETH,0.07957,0.08015,0.07551,0.07892,1471.91,114.02
2017-12-04,REPETH,0.07738,0.086,0.075,0.07957,5143.64,410.84
2017-12-03,REPETH,0.0649,0.1022,0.06115,0.07738,13015.88,1022.28
2017-12-02,REPETH,0.05694,0.0649,0.056,0.0649,5622.53,334.83
2017-12-01,REPETH,0.05937,0.06153,0.05694,0.05694,6001.75,350.52
2017-11-30,REPETH,0.05802,0.06069,0.05673,0.05937,1112.49,65.36
2017-11-29,REPETH,0.0614,0.06365,0.056,0.05802,3421.95,207.75
2017-11-28,REPETH,0.06064,0.06212,0.05938,0.0614,1005.02,60.84
2017-11-27,REPETH,0.05876,0.064,0.0571,0.06064,1290.57,76.88
2017-11-26,REPETH,0.06167,0.06254,0.058,0.05876,1263.82,75.78
2017-11-25,REPETH,0.06134,0.06195,0.05808,0.06167,3113.17,183.06
2017-11-24,REPETH,0.06397,0.0665,0.05805,0.06134,7185.57,444.72
2017-11-23,REPETH,0.06611,0.086,0.06277,0.06397,9512.11,734.37
2017-11-22,REPETH,0.05895,0.077,0.0584,0.06611,10414.42,702.83
2017-11-21,REPETH,0.05726,0.059,0.05678,0.05895,2845.61,162.04
2017-11-20,REPETH,0.05678,0.0575,0.05517,0.05726,1291.44,72.97
2017-11-19,REPETH,0.05686,0.05814,0.05442,0.05678,1462.85,83.23
2017-11-18,REPETH,0.05868,0.05918,0.05429,0.05686,1675.63,94.95
2017-11-17,REPETH,0.05946,0.0615,0.05767,0.05868,1941.35,116.11
2017-11-16,REPETH,0.05821,0.06225,0.05748,0.05946,1837.49,109.64
2017-11-15,REPETH,0.05607,0.06003,0.05545,0.05821,9226.65,536.8
2017-11-14,REPETH,0.05846,0.05846,0.05382,0.05607,1047.41,58.33
2017-11-13,REPETH,0.05701,0.05846,0.055,0.05846,1110.79,63.54
2017-11-12,REPETH,0.05773,0.06259,0.055,0.05701,11155.09,669.3
2017-11-11,REPETH,0.05956,0.06213,0.056,0.05773,2435.23,144.14
2017-11-10,REPETH,0.05995,0.06309,0.05829,0.05956,10098.34,619.71
2017-11-09,REPETH,0.05923,0.06165,0.05792,0.05995,1663.3,98.91
2017-11-08,REPETH,0.0582,0.06218,0.0544,0.05923,3481.23,200.47
