Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume TRX,Volume ETH
2017-12-16,TRXETH,2.71e-05,6.0e-05,2.53e-05,5.34e-05,24021000.0,999.06
2017-12-15,TRXETH,2.67e-05,3.18e-05,2.01e-05,2.71e-05,8127000.0,195.56
2017-12-14,TRXETH,2.2e-05,3.2e-05,1.85e-05,2.67e-05,12343000.0,299.88
2017-12-13,TRXETH,1.14e-05,3.45e-05,1.09e-05,2.2e-05,28251000.0,504.18
2017-12-12,TRXETH,9.7e-06,1.88e-05,9.3e-06,1.14e-05,15866000.0,183.79
2017-12-11,TRXETH,9.8e-06,1.2e-05,9.6e-06,9.7e-06,7500000.0,77.58
2017-12-10,TRXETH,9.4e-06,1.0e-05,8.3e-06,9.8e-06,7995000.0,73.89
2017-12-09,TRXETH,9.1e-06,1.04e-05,8.3e-06,9.4e-06,7188000.0,64.78
2017-12-08,TRXETH,9.1e-06,1.08e-05,7.3e-06,9.1e-06,18829000.0,162.01
2017-12-07,TRXETH,7.2e-06,1.3e-05,7.2e-06,9.1e-06,39569000.0,420.08
2017-12-06,TRXETH,4.6e-06,9.9e-06,4.6e-06,7.2e-06,33694000.0,205.91
2017-12-05,TRXETH,4.6e-06,4.7e-06,4.5e-06,4.6e-06,21697000.0,99.81
2017-12-04,TRXETH,4.5e-06,4.7e-06,4.0e-06,4.6e-06,42441000.0,186.65
2017-12-03,TRXETH,4.9e-06,4.9e-06,4.4e-06,4.5e-06,3098000.0,14.04
2017-12-02,TRXETH,4.6e-06,5.1e-06,4.4e-06,4.9e-06,5034000.0,23.02
2017-12-01,TRXETH,5.0e-06,5.4e-06,4.4e-06,4.6e-06,4860000.0,22.86
2017-11-30,TRXETH,5.0e-06,5.4e-06,4.4e-06,5.0e-06,1703000.0,8.38
2017-11-29,TRXETH,4.8e-06,7.2e-06,4.6e-06,5.0e-06,6003000.0,34.53
2017-11-28,TRXETH,4.7e-06,5.9e-06,4.0e-06,4.8e-06,2385000.0,11.56
2017-11-27,TRXETH,5.1e-06,5.4e-06,4.2e-06,4.7e-06,1477000.0,6.62
2017-11-26,TRXETH,4.3e-06,5.2e-06,4.2e-06,5.1e-06,1811000.0,8.62
2017-11-25,TRXETH,4.3e-06,5.4e-06,4.0e-06,4.3e-06,2778000.0,12.25
2017-11-24,TRXETH,5.7e-06,6.3e-06,1.3e-06,4.3e-06,1846000.0,8.82
2017-11-23,TRXETH,7.2e-06,8.0e-06,5.3e-06,5.7e-06,2346000.0,15.43
2017-11-22,TRXETH,6.0e-06,7.9e-06,6.0e-06,7.2e-06,2140000.0,14.27
2017-11-21,TRXETH,5.8e-06,6.3e-06,5.2e-06,6.0e-06,2298000.0,13.04
2017-11-20,TRXETH,5.3e-06,6.2e-06,5.3e-06,5.8e-06,7307000.0,44.29
2017-11-19,TRXETH,5.6e-06,5.9e-06,5.3e-06,5.3e-06,1292000.0,7.23
2017-11-18,TRXETH,5.9e-06,6.6e-06,5.0e-06,5.6e-06,2045000.0,12.21
2017-11-17,TRXETH,6.5e-06,7.2e-06,5.8e-06,5.9e-06,1736000.0,10.86
2017-11-16,TRXETH,7.0e-06,7.7e-06,6.0e-06,6.5e-06,737000.0,4.83
2017-11-15,TRXETH,7.5e-06,7.7e-06,6.7e-06,7.0e-06,2259000.0,16.68
2017-11-14,TRXETH,6.7e-06,8.0e-06,6.5e-06,7.5e-06,1551000.0,11.7
