Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume USDT
2019-01-22,NEOUSDT,7.41,7.72,7.05,7.6,523169.97,3910442.73
2019-01-21,NEOUSDT,7.45,7.54,7.25,7.41,404556.82,3000113.2
2019-01-20,NEOUSDT,7.9,8.05,7.22,7.45,668777.29,5063259.69
2019-01-19,NEOUSDT,7.51,8.26,7.49,7.9,558235.27,4425651.46
2019-01-18,NEOUSDT,7.66,7.71,7.41,7.51,287849.93,2169354.5
2019-01-17,NEOUSDT,7.55,7.69,7.31,7.66,497042.08,3740009.02
2019-01-16,NEOUSDT,7.42,7.79,7.35,7.55,540198.95,4081382.39
2019-01-15,NEOUSDT,7.81,7.85,7.24,7.42,714886.21,5375573.75
2019-01-14,NEOUSDT,6.98,7.84,6.98,7.81,807829.68,6049887.74
2019-01-13,NEOUSDT,7.56,7.66,6.85,6.98,638029.07,4595963.81
2019-01-12,NEOUSDT,7.74,7.76,7.46,7.56,422721.82,3223303.85
2019-01-11,NEOUSDT,7.78,7.93,7.51,7.74,779361.99,6040288.31
2019-01-10,NEOUSDT,9,9.37,7.4,7.78,1830066.34,14999200.9
2019-01-09,NEOUSDT,9.01,9.65,8.9,9,1597939.43,14825943.84
2019-01-08,NEOUSDT,8.36,9.33,8.15,9.01,1501764.06,13288526.93
2019-01-07,NEOUSDT,8.46,8.82,8.15,8.36,1100983.14,9352063.6
2019-01-06,NEOUSDT,7.72,8.7,7.53,8.46,1079740.34,8873459.98
2019-01-05,NEOUSDT,7.46,7.83,7.46,7.72,443706.04,3402409.27
2019-01-04,NEOUSDT,7.52,7.62,7.26,7.46,353359.37,2645811.88
2019-01-03,NEOUSDT,7.9,7.92,7.35,7.52,447076.49,3409098.87
2019-01-02,NEOUSDT,7.76,7.98,7.57,7.9,619636.91,4824786.88
2019-01-01,NEOUSDT,7.41,7.79,7.28,7.76,322613.26,2414496.99
2018-12-31,NEOUSDT,7.96,8,7.24,7.41,592585.72,4505641.16
2018-12-30,NEOUSDT,7.66,8.08,7.5,7.96,737582.65,5789120.05
2018-12-29,NEOUSDT,7.8,8.15,7.4,7.66,821288.64,6349231.33
2018-12-28,NEOUSDT,6.8,7.98,6.66,7.8,1084992.45,7921266.18
2018-12-27,NEOUSDT,7.7,7.74,6.67,6.8,930270.1,6650188.29
2018-12-26,NEOUSDT,7.55,7.95,7.11,7.7,840067.89,6344588.18
2018-12-25,NEOUSDT,8.32,8.36,7,7.55,1252180.62,9254229.69
