Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume USD
2018-08-10 08-AM,ZECUSD,178,178.9,176.86,177.57,1.08,191.07
2018-08-10 07-AM,ZECUSD,178.01,181.06,177.21,178,8.98,1598.91
2018-08-10 06-AM,ZECUSD,180.2,180.2,178.01,178.01,2.26,402.33
2018-08-10 05-AM,ZECUSD,179.93,180.63,179.93,180.2,2.66,479.49
2018-08-10 04-AM,ZECUSD,181.55,181.55,179.85,179.93,0.9843,177.38
2018-08-10 03-AM,ZECUSD,181.06,181.55,181.06,181.55,0.002054,0.3728
2018-08-10 02-AM,ZECUSD,184.79,184.79,181.06,181.06,0.04192,7.62
2018-08-10 01-AM,ZECUSD,184.79,184.79,184.79,184.79,0.0,0.0
2018-08-10 12-AM,ZECUSD,182,184.79,182,184.79,0.04246,7.8
2018-08-09 11-PM,ZECUSD,183.84,183.84,182,182,0.08524,15.53
2018-08-09 10-PM,ZECUSD,185.43,185.43,182.66,183.84,2.7,497.43
2018-08-09 09-PM,ZECUSD,183.91,185.89,182.59,185.43,2.3,424.94
2018-08-09 08-PM,ZECUSD,182.1,183.91,181.41,183.91,0.7276,133.02
2018-08-09 07-PM,ZECUSD,182.97,182.97,181.9,182.1,0.2116,38.6
2018-08-09 06-PM,ZECUSD,180.89,182.97,180,182.97,1.23,222.64
2018-08-09 05-PM,ZECUSD,177.39,180.89,177.39,180.89,2.5,444.68
2018-08-09 04-PM,ZECUSD,176.74,179.58,176.74,177.39,1.39,248.25
2018-08-09 03-PM,ZECUSD,174.27,178.04,174.27,176.74,5.29,939.2
2018-08-09 02-PM,ZECUSD,172.7,176.24,172.41,174.27,4.25,744.67
2018-08-09 01-PM,ZECUSD,170.67,173.19,170,172.7,0.2552,43.69
2018-08-09 12-PM,ZECUSD,171.37,171.37,170,170.67,0.8397,143.07
2018-08-09 11-AM,ZECUSD,173.92,173.92,170.61,171.37,1.03,175.86
2018-08-09 10-AM,ZECUSD,170.62,173.92,170.62,173.92,8.37,1444.03
