Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume USD
2018-05-29 11-PM,XMRUSD,157.36,157.96,156.54,157.92,384.86,60477.2
2018-05-29 10-PM,XMRUSD,159.65,159.84,157.34,157.36,672.18,106395.25
2018-05-29 09-PM,XMRUSD,159.34,160.09,158.79,159.65,485.48,77510.42
2018-05-29 08-PM,XMRUSD,157.59,159.41,157.59,159.34,858.19,136249.72
2018-05-29 07-PM,XMRUSD,156.68,157.62,156.59,157.59,524.67,82454.74
2018-05-29 06-PM,XMRUSD,157.11,158,155.91,156.68,1270.5,199575.46
2018-05-29 05-PM,XMRUSD,156.9,157.28,153.77,157.11,559.55,86943.71
2018-05-29 04-PM,XMRUSD,154.85,157.42,154.68,156.9,170.09,26530.2
2018-05-29 03-PM,XMRUSD,162.51,162.51,154.34,154.85,558.72,87157.46
2018-05-29 02-PM,XMRUSD,165.69,166.17,162.51,162.51,458.85,75036.56
2018-05-29 01-PM,XMRUSD,166.05,167.04,165.43,165.69,460.47,76556.0
2018-05-29 12-PM,XMRUSD,166.06,167.87,165.53,166.05,559.29,93228.01
2018-05-29 11-AM,XMRUSD,158.83,166.46,158.74,166.06,1271.44,207627.79
2018-05-29 10-AM,XMRUSD,156.03,158.89,155.9,158.83,634.15,99823.21
2018-05-29 09-AM,XMRUSD,154.39,156.38,154.3,156.03,399.35,62168.98
2018-05-29 08-AM,XMRUSD,153.29,154.51,152.81,154.39,386.76,59347.0
