Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume NGN
2019-06-24 02-AM,BTCNGN,3855101,3855102,3826000,3826000,1.726,6642641.62
2019-06-24 01-AM,BTCNGN,3870896,3870896,3854999,3855101,4.211,16249542.16
2019-06-24 12-AM,BTCNGN,3905100,3906101,3855099,3870896,3.246,12598500.76
2019-06-23 11-PM,BTCNGN,3908999,3958000,3881781,3905100,0.9944,3900265.79
2019-06-23 10-PM,BTCNGN,3966995,3966996,3868997,3908999,3.582,14125411.92
2019-06-23 09-PM,BTCNGN,3966599,4020854,3965999,3966995,6.683,26699054.4
2019-06-23 08-PM,BTCNGN,3957000,3980110,3937999,3966599,3.089,12239593.25
2019-06-23 07-PM,BTCNGN,3899275,3964980,3899274,3957000,4.684,18355898.34
2019-06-23 06-PM,BTCNGN,3867998,3899275,3867997,3899275,2.708,10488728.35
2019-06-23 05-PM,BTCNGN,3867998,3867998,3867997,3867998,0.3805,1471606.68
2019-06-23 04-PM,BTCNGN,3854990,3867999,3854990,3867998,0.5012,1936958.85
2019-06-23 03-PM,BTCNGN,3869800,3869800,3852200,3854990,0.6213,2398489.32
2019-06-23 02-PM,BTCNGN,3844999,3869800,3840397,3869800,1.357,5222995.35
2019-06-23 01-PM,BTCNGN,3870519,3870520,3822999,3844999,0.8923,3433631.17
2019-06-23 12-PM,BTCNGN,3822000,3870520,3822000,3870519,1.815,6997598.3
2019-06-23 11-AM,BTCNGN,3824899,3824899,3799730,3822000,1.253,4785167.65
2019-06-23 10-AM,BTCNGN,3857248,3857248,3753010,3824899,4.394,16791020.79
2019-06-23 09-AM,BTCNGN,3870230,3887660,3835289,3857248,2.872,11088564.93
2019-06-23 08-AM,BTCNGN,3899999,3899999,3858563,3870230,1.676,6487745.56
2019-06-23 07-AM,BTCNGN,3899999,3900000,3899999,3899999,0.4598,1793204.07
2019-06-23 06-AM,BTCNGN,3895390,3900000,3888899,3899999,1.247,4861485.91
2019-06-23 05-AM,BTCNGN,3874000,3900000,3874000,3895390,1.802,6990431.77
2019-06-23 04-AM,BTCNGN,3874000,3874001,3874000,3874000,0.2995,1160278.57
2019-06-23 03-AM,BTCNGN,3874001,3874001,3874000,3874000,0.9048,3505350.29
2019-06-23 02-AM,BTCNGN,3873999,3874001,3873999,3874001,1.36,5270108.32
2019-06-23 01-AM,BTCNGN,3865000,3874001,3865000,3873999,5.612,21740414.79
2019-06-23 12-AM,BTCNGN,3857900,3865001,3833101,3865000,3.975,15357584.55
2019-06-22 11-PM,BTCNGN,3733000,3859000,3732999,3857900,2.451,9325785.99
2019-06-22 10-PM,BTCNGN,3806460,3818900,3696999,3733000,4.076,15331281.66
2019-06-22 09-PM,BTCNGN,3841999,3842000,3806001,3806460,3.796,14544059.52
2019-06-22 08-PM,BTCNGN,3866000,3866000,3841809,3841999,1.026,3946828.31
2019-06-22 07-PM,BTCNGN,3874000,3874001,3825001,3866000,6.643,25636480.22
2019-06-22 06-PM,BTCNGN,3884751,3923399,3873860,3874000,2.404,9331203.04
2019-06-22 05-PM,BTCNGN,3944990,3980000,3884750,3884751,2.642,10369122.21
2019-06-22 04-PM,BTCNGN,3897000,3992699,3892332,3944990,7.841,30731985.92
2019-06-22 03-PM,BTCNGN,3873000,3900000,3873000,3897000,6.672,25979152.21
2019-06-22 02-PM,BTCNGN,4029999,4030000,3820935,3873000,13.54,53341610.47
2019-06-22 01-PM,BTCNGN,4000000,4049500,3999999,4029999,4.438,17916754.49
2019-06-22 12-PM,BTCNGN,3954100,4000000,3951999,4000000,9.396,37392317.36
2019-06-22 11-AM,BTCNGN,3983000,3998900,3950009,3954100,4.644,18509312.07
2019-06-22 10-AM,BTCNGN,3969999,4000000,3940099,3983000,7.322,29120696.3
2019-06-22 09-AM,BTCNGN,3948899,3980000,3900199,3969999,5.951,23486812.26
2019-06-22 08-AM,BTCNGN,3850000,4000000,3850000,3948899,5.0,19637127.76
2019-06-22 07-AM,BTCNGN,3874777,3888900,3848522,3850000,2.707,10470256.14
2019-06-22 06-AM,BTCNGN,3836000,3878999,3815137,3874777,4.264,16401673.26
2019-06-22 05-AM,BTCNGN,3800000,3877098,3800000,3836000,2.645,10130009.7
2019-06-22 04-AM,BTCNGN,3800100,3800100,3750020,3800000,12.6,47635671.96
2019-06-22 03-AM,BTCNGN,3800000,3899999,3800000,3800100,8.543,33040092.24
2019-06-22 02-AM,BTCNGN,3725001,3800000,3725000,3800000,3.094,11603212.84
2019-06-22 01-AM,BTCNGN,3610000,3725001,3609999,3725001,7.133,26019201.93
2019-06-22 12-AM,BTCNGN,3600300,3610000,3600299,3610000,3.652,13165042.83
2019-06-21 11-PM,BTCNGN,3540000,3600300,3540000,3600300,5.055,18101876.49
2019-06-21 10-PM,BTCNGN,3540001,3540001,3540000,3540000,1.134,4013893.05
2019-06-21 09-PM,BTCNGN,3540000,3540001,3540000,3540001,2.042,7228248.29
2019-06-21 08-PM,BTCNGN,3540000,3544899,3540000,3540000,1.506,5331816.56
2019-06-21 07-PM,BTCNGN,3539999,3545000,3539999,3540000,1.547,5477535.12
2019-06-21 06-PM,BTCNGN,3524000,3540000,3523999,3539999,1.873,6616316.84
2019-06-21 05-PM,BTCNGN,3517930,3540000,3517929,3524000,2.16,7607304.42
2019-06-21 04-PM,BTCNGN,3499999,3517930,3499999,3517930,1.46,5125584.48
2019-06-21 03-PM,BTCNGN,3500000,3500000,3499999,3499999,1.513,5294284.66
2019-06-21 02-PM,BTCNGN,3496999,3500000,3496298,3500000,1.899,6642938.52
2019-06-21 01-PM,BTCNGN,3496000,3522001,3495999,3496999,5.366,18785893.1
2019-06-21 12-PM,BTCNGN,3469599,3496000,3469599,3496000,2.403,8390501.18
2019-06-21 11-AM,BTCNGN,3496299,3496300,3469599,3469599,16.61,58074828.41
2019-06-21 10-AM,BTCNGN,3500000,3500000,3452009,3496299,20.36,70994137.0
2019-06-21 09-AM,BTCNGN,3499999,3500000,3499999,3500000,2.103,7360967.48
2019-06-21 08-AM,BTCNGN,3500000,3500000,3499999,3499999,2.096,7334539.5
2019-06-21 07-AM,BTCNGN,3499990,3500000,3499989,3500000,3.052,10682905.13
2019-06-21 06-AM,BTCNGN,3479990,3499990,3479989,3499990,6.934,24196834.68
2019-06-21 05-AM,BTCNGN,3479990,3479990,3479989,3479990,3.885,13518271.97
2019-06-21 04-AM,BTCNGN,3476509,3479990,3476509,3479990,0.9384,3265465.61
2019-06-21 03-AM,BTCNGN,3484999,3485000,3476000,3476509,2.4,8360295.74
2019-06-21 02-AM,BTCNGN,3476002,3485000,3476002,3484999,0.8679,3020879.8
2019-06-21 01-AM,BTCNGN,3419999,3476002,3419999,3476002,4.661,16051737.06
2019-06-21 12-AM,BTCNGN,3413068,3420000,3413068,3419999,0.8504,2907079.0
2019-06-20 11-PM,BTCNGN,3413068,3420000,3413068,3413068,1.235,4216831.79
2019-06-20 10-PM,BTCNGN,3413068,3413069,3413068,3413068,2.01,6859311.21
2019-06-20 09-PM,BTCNGN,3413068,3413069,3413068,3413068,1.523,5198901.57
