Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume PIV,Volume XLTC
2017-12-02,PIVXLTC,0.04368,0.04919,0.04368,0.04919,58.67,2.79
2017-12-01,PIVXLTC,0.03851,0.05088,0.03851,0.04368,97.22,4.63
2017-11-30,PIVXLTC,0.04259,0.04363,0.03851,0.03851,30.73,1.34
2017-11-29,PIVXLTC,0.04217,0.04578,0.03743,0.04259,521.81,22.74
2017-11-28,PIVXLTC,0.0449,0.06,0.03739,0.04217,633.04,31.55
2017-11-27,PIVXLTC,0.0366,0.04659,0.0366,0.0449,116.0,5.2
2017-11-26,PIVXLTC,0.04199,0.04199,0.0366,0.0366,543.65,22.65
2017-11-25,PIVXLTC,0.04084,0.0492,0.03608,0.04199,660.92,23.95
2017-11-24,PIVXLTC,0.0414,0.0414,0.04,0.04084,20.15,0.8105
2017-11-23,PIVXLTC,0.043,0.0435,0.041,0.0414,185.25,7.67
2017-11-22,PIVXLTC,0.048,0.05163,0.043,0.043,15.04,0.7014
2017-11-21,PIVXLTC,0.05272,0.05272,0.048,0.048,11.6,0.5568
2017-11-20,PIVXLTC,0.05247,0.05272,0.05209,0.05272,6.11,0.3205
2017-11-19,PIVXLTC,0.04551,0.05247,0.04551,0.05247,158.59,8.31
2017-11-18,PIVXLTC,0.043,0.05512,0.043,0.04551,19.29,0.9696
2017-11-17,PIVXLTC,0.043,0.043,0.043,0.043,0.0,0.0
2017-11-16,PIVXLTC,0.041,0.05354,0.041,0.043,18.14,0.8553
2017-11-15,PIVXLTC,0.041,0.041,0.041,0.041,0.0,0.0
2017-11-14,PIVXLTC,0.041,0.041,0.041,0.041,0.0,0.0
2017-11-13,PIVXLTC,0.041,0.041,0.041,0.041,0.0,0.0
2017-11-12,PIVXLTC,0.041,0.041,0.041,0.041,0.0,0.0
2017-11-11,PIVXLTC,0.041,0.041,0.041,0.041,0.0,0.0
2017-11-10,PIVXLTC,0.041,0.041,0.041,0.041,0.0,0.0
2017-11-09,PIVXLTC,0.041,0.041,0.041,0.041,0.0,0.0
2017-11-08,PIVXLTC,0.055,0.055,0.041,0.041,20.5,0.9015
2017-11-07,PIVXLTC,0.055,0.055,0.055,0.055,0.0,0.0
2017-11-06,PIVXLTC,0.05001,0.075,0.05001,0.055,102.34,6.38
2017-11-05,PIVXLTC,0.041,0.061,0.041,0.05001,72.41,4.3
2017-11-04,PIVXLTC,0.062,0.062,0.041,0.041,4.78,0.196
2017-11-03,PIVXLTC,0.05156,0.062,0.05,0.062,10.13,0.5278
2017-11-02,PIVXLTC,0.05156,0.05156,0.05156,0.05156,0.6355,0.03277
2017-11-01,PIVXLTC,0.05156,0.06499,0.05156,0.05156,50.82,2.75
2017-10-31,PIVXLTC,0.057,0.057,0.05156,0.05156,8.45,0.4745
2017-10-30,PIVXLTC,0.057,0.057,0.057,0.057,0.0,0.0
2017-10-29,PIVXLTC,0.057,0.057,0.057,0.057,0.0,0.0
2017-10-28,PIVXLTC,0.057,0.057,0.057,0.057,0.0,0.0
2017-10-27,PIVXLTC,0.057,0.057,0.057,0.057,26.0,1.48
2017-10-26,PIVXLTC,0.061,0.061,0.057,0.057,1.12,0.0639
2017-10-25,PIVXLTC,0.065,0.065,0.061,0.061,0.3542,0.0216
2017-10-24,PIVXLTC,0.075,0.075,0.053,0.065,50.0,3.12
2017-10-23,PIVXLTC,0.075,0.075,0.075,0.075,0.0,0.0
2017-10-22,PIVXLTC,0.05683,0.075,0.0518,0.075,17.53,1.17
2017-10-21,PIVXLTC,0.05724,0.05724,0.05157,0.05683,382.21,20.63
2017-10-20,PIVXLTC,0.05636,0.07148,0.05636,0.05724,13.41,0.9533
2017-10-19,PIVXLTC,0.07364,0.07364,0.05538,0.05636,31.1,1.78
2017-10-18,PIVXLTC,0.0552,0.07364,0.0552,0.07364,20.72,1.5
2017-10-17,PIVXLTC,0.0552,0.0552,0.0552,0.0552,0.0,0.0
2017-10-16,PIVXLTC,0.05973,0.05973,0.0552,0.0552,4.91,0.2712
2017-10-15,PIVXLTC,0.05973,0.05973,0.05969,0.05973,57.7,3.45
2017-10-14,PIVXLTC,0.073,0.07333,0.05973,0.05973,36.42,2.36
2017-10-13,PIVXLTC,0.06113,0.07348,0.05973,0.073,70.78,4.91
2017-10-12,PIVXLTC,0.07091,0.07091,0.06113,0.06113,114.57,7.76
2017-10-11,PIVXLTC,0.05963,0.07448,0.05963,0.07091,1.99,0.1417
2017-10-10,PIVXLTC,0.065,0.065,0.05963,0.05963,4.52,0.2696
2017-10-09,PIVXLTC,0.06356,0.0746,0.06356,0.065,35.07,2.42
2017-10-08,PIVXLTC,0.06856,0.06856,0.06356,0.06356,71.49,4.7
2017-10-07,PIVXLTC,0.06856,0.06856,0.06856,0.06856,0.02193,0.001504
2017-10-06,PIVXLTC,0.05577,0.07452,0.05577,0.06856,13.31,0.9347
2017-10-05,PIVXLTC,0.06253,0.075,0.05577,0.05577,93.06,6.2
2017-10-04,PIVXLTC,0.0725,0.075,0.06253,0.06253,121.25,7.97
2017-10-03,PIVXLTC,0.05853,0.0725,0.05853,0.0725,53.44,3.61
2017-10-02,PIVXLTC,0.057,0.05853,0.05,0.05853,127.49,7.3
2017-10-01,PIVXLTC,0.057,0.057,0.057,0.057,0.0,0.0
2017-09-30,PIVXLTC,0.06344,0.06344,0.056,0.057,359.42,20.25
2017-09-29,PIVXLTC,0.06344,0.06344,0.06344,0.06344,0.0,0.0
2017-09-28,PIVXLTC,0.057,0.06344,0.057,0.06344,4.1,0.2365
2017-09-27,PIVXLTC,0.057,0.06611,0.057,0.057,706.87,44.52
2017-09-26,PIVXLTC,0.056,0.057,0.056,0.057,10.0,0.57
2017-09-25,PIVXLTC,0.07,0.07,0.056,0.056,2.51,0.1406
2017-09-24,PIVXLTC,0.07,0.07,0.07,0.07,0.0,0.0
2017-09-23,PIVXLTC,0.07,0.07,0.07,0.07,2.0,0.14
2017-09-22,PIVXLTC,0.056,0.07,0.056,0.07,27.82,1.88
2017-09-21,PIVXLTC,0.066,0.066,0.056,0.056,124.72,7.94
2017-09-20,PIVXLTC,0.066,0.066,0.0612,0.066,188.91,12.22
2017-09-19,PIVXLTC,0.061,0.066,0.061,0.066,4.75,0.3136
2017-09-18,PIVXLTC,0.066,0.066,0.061,0.061,73.04,4.59
2017-09-17,PIVXLTC,0.066,0.066,0.066,0.066,0.0,0.0
2017-09-16,PIVXLTC,0.065,0.066,0.06468,0.066,1.13,0.07453
2017-09-15,PIVXLTC,0.047,0.065,0.047,0.065,53.4,3.47
2017-09-14,PIVXLTC,0.047,0.047,0.047,0.047,0.0,0.0
2017-09-13,PIVXLTC,0.0475,0.0475,0.047,0.047,12.13,0.575
2017-09-12,PIVXLTC,0.049,0.049,0.0475,0.0475,40.14,1.91
2017-09-11,PIVXLTC,0.05219,0.0527,0.049,0.049,7.67,0.3825
2017-09-10,PIVXLTC,0.055,0.057,0.049,0.05219,11.12,0.5859
2017-09-09,PIVXLTC,0.059,0.059,0.05,0.055,18.59,0.9932
2017-09-08,PIVXLTC,0.059,0.059,0.05,0.059,100.08,5.37
2017-09-07,PIVXLTC,0.0475,0.059,0.0475,0.059,259.58,13.79
2017-09-06,PIVXLTC,0.07,0.07,0.0475,0.0475,11.47,0.5449
2017-09-05,PIVXLTC,0.0475,0.07,0.0475,0.07,153.87,8.86
2017-09-04,PIVXLTC,0.048,0.055,0.039,0.0475,145.02,6.96
2017-09-03,PIVXLTC,0.039,0.055,0.039,0.048,48.79,2.39
2017-09-02,PIVXLTC,0.055,0.055,0.039,0.039,102.12,4.27
2017-09-01,PIVXLTC,0.05,0.05,0.05,0.05,0.0,0.0
2017-08-31,PIVXLTC,0.05,0.05,0.04402,0.05,74.13,3.52
2017-08-30,PIVXLTC,0.046,0.064,0.045,0.05,1062.15,52.74
2017-08-29,PIVXLTC,0.045,0.065,0.045,0.046,1.82,0.08383
2017-08-28,PIVXLTC,0.045,0.065,0.045,0.045,177.77,11.5
2017-08-27,PIVXLTC,0.063,0.063,0.045,0.045,39.36,1.87
2017-08-26,PIVXLTC,0.0381,0.0699,0.0381,0.063,55.71,3.06
2017-08-25,PIVXLTC,0.0381,0.0381,0.0381,0.0381,0.1048,0.003995
2017-08-24,PIVXLTC,0.0381,0.0381,0.0381,0.0381,0.0,0.0
2017-08-23,PIVXLTC,0.0381,0.0381,0.0381,0.0381,0.0,0.0
2017-08-22,PIVXLTC,0.038,0.0381,0.038,0.0381,26.64,1.02
2017-08-21,PIVXLTC,0.038,0.038,0.038,0.038,0.0,0.0
2017-08-20,PIVXLTC,0.039,0.044,0.038,0.038,114.44,4.41
2017-08-19,PIVXLTC,0.06,0.06,0.037,0.039,90.11,3.42
2017-08-18,PIVXLTC,0.037,0.065,0.03608,0.06,96.87,4.83
2017-08-17,PIVXLTC,0.05,0.05,0.037,0.037,219.89,8.61
2017-08-16,PIVXLTC,0.08189,0.08189,0.05,0.05,72.62,4.89
2017-08-15,PIVXLTC,0.04,0.08189,0.04,0.08189,108.29,7.85
2017-08-14,PIVXLTC,0.04,0.064,0.04,0.04,209.22,11.5
