Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume ILS
2019-06-21 03-AM,BTCILS,33200,33200,33200,33200,0.0,0.0
2019-06-21 02-AM,BTCILS,32600,33200,32600,33200,0.2984,9900.0
2019-06-21 01-AM,BTCILS,32400,32600,32400,32600,0.2928,9513.31
2019-06-21 12-AM,BTCILS,32400,32400,32400,32400,0.0,0.0
2019-06-20 11-PM,BTCILS,32400,32400,32400,32400,0.0,0.0
2019-06-20 10-PM,BTCILS,32400,32400,32400,32400,0.01575,510.2
2019-06-20 09-PM,BTCILS,32240,32400,32240,32400,5.455,175936.72
2019-06-20 08-PM,BTCILS,32240,32240,32240,32240,1.289,41563.98
2019-06-20 07-PM,BTCILS,32240,32240,32240,32240,0.003567,115.0
2019-06-20 06-PM,BTCILS,31950,32240,31950,32240,1.145,36845.51
2019-06-20 05-PM,BTCILS,32199.84,32199.84,31950,31950,0.7835,25177.93
2019-06-20 04-PM,BTCILS,32240,32240,32000,32199.84,0.1236,3964.7
2019-06-20 03-PM,BTCILS,32238,32240,32000,32240,0.1184,3792.8
2019-06-20 02-PM,BTCILS,32238,32238,32238,32238,0.0,0.0
2019-06-20 01-PM,BTCILS,32239.36,32239.36,32234,32238,0.003412,109.98
2019-06-20 12-PM,BTCILS,31900,32239.84,31120.16,32239.36,2.994,95724.6
2019-06-20 11-AM,BTCILS,31900,32124.21,31900,31900,0.07012,2237.46
2019-06-20 10-AM,BTCILS,32149.25,32149.25,31900,31900,0.2588,8256.82
2019-06-20 09-AM,BTCILS,32149.25,32149.25,32149.25,32149.25,0.0,0.0
2019-06-20 08-AM,BTCILS,32149.25,32149.25,32149.25,32149.25,0.0,0.0
2019-06-20 07-AM,BTCILS,31111.81,32149.25,31111.81,32149.25,0.4151,13313.71
2019-06-20 06-AM,BTCILS,31080,32239.25,31080,31111.81,1.061,33180.22
2019-06-20 05-AM,BTCILS,32250,32250,31080,31080,1.172,36641.04
2019-06-20 04-AM,BTCILS,32250,32250,32249,32250,0.03751,1209.84
2019-06-20 03-AM,BTCILS,32000,32250,31404.15,32250,1.028,33015.77
2019-06-20 02-AM,BTCILS,32000,32000,32000,32000,0.0,0.0
2019-06-20 01-AM,BTCILS,32000,32000,32000,32000,0.0,0.0
2019-06-20 12-AM,BTCILS,31270.01,32000,31270.01,32000,0.01547,495.05
2019-06-19 11-PM,BTCILS,31750,32000,31270.01,31270.01,0.2866,8982.07
