Created on 01-28-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-09-23 03-AM,BTCEUR,5706.41,5711.7,5706.41,5711.7,1.16,6600.4
2018-09-23 02-AM,BTCEUR,5704.07,5711.7,5703,5706.41,1.74,9930.8
2018-09-23 01-AM,BTCEUR,5714.01,5714.01,5701,5704.07,4.46,25462.5
2018-09-23 12-AM,BTCEUR,5725.74,5728,5714,5714.01,6.97,39876.12
2018-09-22 11-PM,BTCEUR,5711.82,5727.86,5711.81,5725.74,4.8,27435.06
2018-09-22 10-PM,BTCEUR,5705.63,5715.42,5703,5711.82,10.45,59636.73
2018-09-22 09-PM,BTCEUR,5720.02,5720.02,5705.63,5705.63,15.9,90915.34
2018-09-22 08-PM,BTCEUR,5721.21,5726.37,5720,5720.02,17.99,102971.5
2018-09-22 07-PM,BTCEUR,5731.61,5732.14,5708.27,5721.21,17.49,100127.63
2018-09-22 06-PM,BTCEUR,5694.01,5738,5664,5731.61,52.64,300778.67
2018-09-22 05-PM,BTCEUR,5684.01,5699.84,5680.26,5694.01,32.37,184200.21
2018-09-22 04-PM,BTCEUR,5690.07,5698.48,5684,5684.01,18.57,105618.91
2018-09-22 03-PM,BTCEUR,5682.47,5691,5664,5690.07,23.17,131485.61
2018-09-22 02-PM,BTCEUR,5691.83,5691.83,5671.2,5682.47,32.54,184877.89
2018-09-22 01-PM,BTCEUR,5689.99,5691.83,5684.89,5691.83,24.21,137678.29
2018-09-22 12-PM,BTCEUR,5679.43,5699,5679.43,5689.99,18.46,105077.09
2018-09-22 11-AM,BTCEUR,5701.46,5702,5678.01,5679.43,21.99,125172.48
2018-09-22 10-AM,BTCEUR,5701.6,5717.8,5685.42,5701.46,23.35,133284.03
2018-09-22 09-AM,BTCEUR,5659.27,5701.6,5659.27,5701.6,30.92,175599.28
2018-09-22 08-AM,BTCEUR,5733.36,5733.37,5640,5659.27,99.38,564364.13
2018-09-22 07-AM,BTCEUR,5728.62,5734.53,5721.99,5733.36,22.1,126601.57
2018-09-22 06-AM,BTCEUR,5738.17,5738.17,5721.87,5728.62,15.22,87198.6
2018-09-22 05-AM,BTCEUR,5746.94,5746.94,5735.04,5738.17,5.93,34004.26
2018-09-22 04-AM,BTCEUR,5742.92,5752,5730,5746.94,12.17,69895.64
2018-09-22 03-AM,BTCEUR,5753.14,5753.14,5731.3,5742.92,12.72,72948.48
2018-09-22 02-AM,BTCEUR,5762.18,5773.62,5750,5753.14,3.15,18117.05
2018-09-22 01-AM,BTCEUR,5786.43,5789,5759.99,5762.18,12.2,70445.73
2018-09-22 12-AM,BTCEUR,5760,5800,5758.87,5786.43,63.68,368332.8
2018-09-21 11-PM,BTCEUR,5740.19,5760,5740.18,5760,25.2,144886.89
2018-09-21 10-PM,BTCEUR,5731.23,5744.95,5724.32,5740.19,18.07,103644.72
2018-09-21 09-PM,BTCEUR,5730.77,5762.97,5702.17,5731.23,66.1,379095.44
