Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume MUSD
2018-09-16,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-15,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-14,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-13,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-12,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-11,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-10,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-09,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-08,QTUMUSD,0.4,0.4,0.4,0.4,0.0,0.0
2018-09-07,QTUMUSD,22.62,22.62,0.4,0.4,4.0,44.8
2018-09-06,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-09-05,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-09-04,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-09-03,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-09-02,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-09-01,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-31,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-30,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-29,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-28,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-27,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-26,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-25,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-24,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-23,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-22,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-21,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-20,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-19,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-18,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-17,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-16,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-15,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-14,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-13,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-12,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-11,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-10,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-09,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-08,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-07,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-06,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-05,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-04,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-03,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-02,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-08-01,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-31,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-30,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-29,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-28,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-27,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-26,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-25,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-24,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-23,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-22,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-21,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-20,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-19,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-18,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-17,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-16,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-15,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-14,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-13,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-12,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-11,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-10,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-09,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-08,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-07,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-06,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-05,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-04,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-03,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-02,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-07-01,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-30,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-29,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-28,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-27,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-26,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-25,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-24,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-23,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-22,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-21,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-20,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-19,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-18,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-17,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-16,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-15,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-14,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-13,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-12,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-11,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-10,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-09,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-08,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-07,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-06,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-05,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-04,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-03,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
2018-06-02,QTUMUSD,22.62,22.62,22.62,22.62,0.0,0.0
