Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume MSGD
2018-10-13,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-12,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-11,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-10,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-09,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-08,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-07,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-06,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-05,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-04,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-03,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-02,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-10-01,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-09-30,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-09-29,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-09-28,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-09-27,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-09-26,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-09-25,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-09-24,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-09-23,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-09-22,QTUMSGD,5.3,5.3,5.3,5.3,0.0,0.0
2018-09-21,QTUMSGD,1.1,5.3,1.1,5.3,38.78,205.55
2018-09-20,QTUMSGD,1.1,1.1,1.1,1.1,0.0,0.0
2018-09-19,QTUMSGD,0.1,1.1,0.1,1.1,2.0,2.2
2018-09-18,QTUMSGD,0.1,0.1,0.1,0.1,0.0,0.0
2018-09-17,QTUMSGD,0.1,0.1,0.1,0.1,0.0,0.0
2018-09-16,QTUMSGD,0.1,0.1,0.1,0.1,0.0,0.0
2018-09-15,QTUMSGD,0.1,0.1,0.1,0.1,0.0,0.0
