Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume JPY
2019-06-23 03-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 02-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 01-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-23 12-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 11-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 10-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 09-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 08-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 07-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 06-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 05-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 04-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 03-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 02-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 01-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 12-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 11-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 10-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 09-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 08-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 07-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 06-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 05-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 04-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 03-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 02-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 01-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-22 12-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-21 11-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-21 10-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-21 09-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-21 08-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-21 07-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-21 06-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-21 05-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-21 04-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-21 03-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-21 02-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-21 01-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-21 12-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-21 11-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-21 10-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-21 09-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
