Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume VEN,Volume ETH
2017-12-14,VENETH,0.0007984,0.001022,0.0006923,0.0009628,493710.98,413.19
2017-12-13,VENETH,0.0008867,0.0012,0.0007241,0.0007984,458994.79,376.36
2017-12-12,VENETH,0.001113,0.001118,0.00088,0.0008867,449263.39,440.61
2017-12-11,VENETH,0.001056,0.001234,0.001007,0.001113,777268.63,843.65
2017-12-10,VENETH,0.001165,0.001178,0.00099,0.001056,330008.16,349.59
2017-12-09,VENETH,0.001233,0.001298,0.00104,0.001165,293522.48,330.81
2017-12-08,VENETH,0.001072,0.001399,0.00106,0.001233,364960.97,437.77
2017-12-07,VENETH,0.001357,0.001431,0.0009985,0.001072,412818.97,485.87
2017-12-06,VENETH,0.001452,0.001463,0.001204,0.001357,356983.0,478.43
2017-12-05,VENETH,0.001061,0.0015,0.0009476,0.001452,843726.22,1010.52
2017-12-04,VENETH,0.0009556,0.001061,0.0008711,0.001061,438918.1,416.51
2017-12-03,VENETH,0.0007881,0.00098,0.00073,0.0009556,950465.93,786.41
2017-12-02,VENETH,0.0007038,0.0007931,0.0006052,0.0007881,730792.83,515.16
2017-12-01,VENETH,0.000564,0.0007302,0.0005252,0.0007038,815358.69,501.9
2017-11-30,VENETH,0.0005398,0.0005749,0.0005036,0.000564,599544.92,326.71
2017-11-29,VENETH,0.000574,0.0006058,0.0005135,0.0005398,809176.88,445.78
2017-11-28,VENETH,0.000511,0.0006289,0.0004951,0.000574,830891.1,450.32
2017-11-27,VENETH,0.0005204,0.0005497,0.0004984,0.000511,736303.19,381.69
2017-11-26,VENETH,0.0005482,0.0005649,0.0005,0.0005204,516273.5,271.17
2017-11-25,VENETH,0.000548,0.0005692,0.0005203,0.0005482,442542.25,240.38
2017-11-24,VENETH,0.0005816,0.0005908,0.00049,0.000548,791387.96,435.61
2017-11-23,VENETH,0.0006899,0.0006966,0.00055,0.0005816,1085673.34,666.16
2017-11-22,VENETH,0.0007412,0.000756,0.0006752,0.0006899,544527.04,384.44
2017-11-21,VENETH,0.000725,0.0007412,0.00067,0.0007412,531687.58,369.3
2017-11-20,VENETH,0.000697,0.0007617,0.000695,0.000725,618730.92,445.38
2017-11-19,VENETH,0.0007615,0.000784,0.0006809,0.000697,502707.32,365.37
2017-11-18,VENETH,0.0007818,0.0008202,0.00076,0.0007615,424887.58,328.98
2017-11-17,VENETH,0.0008394,0.0008521,0.0007553,0.0007818,594361.66,478.41
2017-11-16,VENETH,0.0007867,0.0009776,0.0007115,0.0008394,947247.61,818.43
2017-11-15,VENETH,0.0007115,0.000807,0.0007045,0.0007867,452398.37,340.67
2017-11-14,VENETH,0.0006958,0.00075,0.0006702,0.0007115,474031.19,331.17
2017-11-13,VENETH,0.0006913,0.0007338,0.0006768,0.0006958,324722.46,227.1
2017-11-12,VENETH,0.0007591,0.000779,0.0006905,0.0006913,649039.07,477.32
2017-11-11,VENETH,0.0008018,0.0008526,0.0007546,0.0007591,433490.84,348.92
2017-11-10,VENETH,0.0008595,0.0008779,0.00075,0.0008018,499521.78,409.68
2017-11-09,VENETH,0.0008214,0.0008845,0.0008214,0.0008595,294643.72,252.65
2017-11-08,VENETH,0.0008394,0.0008457,0.00079,0.0008214,25634.24,20.96
2017-11-07,VENETH,0.000769,0.00085,0.0007528,0.0008394,753719.9,605.44
2017-11-06,VENETH,0.0007015,0.0008902,0.0007001,0.000769,1489441.11,1178.06
2017-11-05,VENETH,0.0007335,0.000755,0.0007001,0.0007015,694078.32,505.81
2017-11-04,VENETH,0.0006659,0.00078,0.000662,0.0007335,701409.3,501.78
2017-11-03,VENETH,0.0005815,0.000666,0.0005815,0.0006659,729789.15,470.35
2017-11-02,VENETH,0.0006366,0.00064,0.0005815,0.0005815,757260.66,467.25
2017-11-01,VENETH,0.0007122,0.0007224,0.0006,0.0006366,956764.12,609.78
2017-10-31,VENETH,0.000703,0.000735,0.0006,0.0007122,840469.17,557.55
2017-10-30,VENETH,0.0006762,0.0007309,0.0006501,0.000703,506878.85,350.65
2017-10-29,VENETH,0.00065,0.0007095,0.00065,0.0006762,653857.29,438.61
2017-10-28,VENETH,0.0006998,0.00072,0.00065,0.00065,525042.56,362.43
2017-10-27,VENETH,0.000742,0.0007426,0.0005159,0.0006998,1066711.21,700.5
2017-10-26,VENETH,0.0007702,0.0007934,0.00072,0.000742,610970.45,463.23
2017-10-25,VENETH,0.000817,0.0008586,0.0007331,0.0007702,491787.61,390.65
2017-10-24,VENETH,0.0008244,0.0008457,0.0007841,0.000817,614398.42,499.21
2017-10-23,VENETH,0.0008386,0.0008476,0.0008,0.0008244,623212.33,514.96
2017-10-22,VENETH,0.0008457,0.00088,0.0007899,0.0008386,573305.58,475.66
2017-10-21,VENETH,0.0008365,0.00091,0.0008018,0.0008457,392790.07,329.61
2017-10-20,VENETH,0.0009751,0.0009805,0.0007792,0.0008365,772701.07,677.32
2017-10-19,VENETH,0.0009223,0.001048,0.0008261,0.0009751,1141645.6,1068.27
2017-10-18,VENETH,0.0007398,0.00094,0.0006957,0.0009223,1215572.16,1016.51
2017-10-17,VENETH,0.0006795,0.0007429,0.00062,0.0007398,651585.65,436.24
2017-10-16,VENETH,0.0006641,0.0006924,0.0006,0.0006795,635705.74,410.97
2017-10-15,VENETH,0.0006939,0.0007016,0.00059,0.0006641,646137.92,426.26
2017-10-14,VENETH,0.0005961,0.0006964,0.0005955,0.0006939,412923.03,270.09
2017-10-13,VENETH,0.0007203,0.000779,0.0005521,0.0005961,899519.47,586.13
2017-10-12,VENETH,0.0007711,0.0008046,0.0006692,0.0007203,973785.34,706.72
2017-10-11,VENETH,0.0008846,0.0008946,0.00075,0.0007711,650341.56,529.02
2017-10-10,VENETH,0.0009322,0.0009322,0.0007967,0.0008846,1038290.78,886.96
2017-10-09,VENETH,0.0008255,0.001045,0.000753,0.0009322,1184399.62,1060.36
2017-10-08,VENETH,0.000979,0.001004,0.000805,0.0008255,821126.07,748.8
2017-10-07,VENETH,0.0009968,0.0011,0.0008782,0.000979,1061877.2,1022.98
2017-10-06,VENETH,0.001123,0.001128,0.000975,0.0009968,589762.46,607.07
2017-10-05,VENETH,0.001037,0.001195,0.0009,0.001123,1078999.12,1110.97
2017-10-04,VENETH,0.001305,0.001331,0.0009958,0.001037,1293402.2,1476.72
2017-10-03,VENETH,0.001009,0.001457,0.000865,0.001305,3369610.43,3809.57
2017-10-02,VENETH,0.000578,0.00114,0.0005724,0.001009,3401796.12,2934.65
2017-10-01,VENETH,0.000533,0.0006,0.0005127,0.000578,1305311.73,718.22
2017-09-30,VENETH,0.0005192,0.0005545,0.00043,0.000533,961242.61,511.13
2017-09-29,VENETH,0.0004497,0.0005232,0.000382,0.0005192,1119549.24,519.71
2017-09-28,VENETH,0.0004793,0.00048,0.0004,0.0004497,964937.91,421.75
2017-09-27,VENETH,0.0003377,0.0005,0.00033,0.0004793,1086022.92,393.26
2017-09-26,VENETH,0.0003288,0.00035,0.0003274,0.0003377,972040.76,325.16
2017-09-25,VENETH,0.0003063,0.0004233,0.0002853,0.0003288,974577.99,319.03
2017-09-24,VENETH,0.0002475,0.0003074,0.0002384,0.0003063,1039722.57,255.61
2017-09-23,VENETH,0.0002475,0.00027,0.0002392,0.0002475,1495214.11,361.9
2017-09-22,VENETH,0.0002494,0.00025,0.0002367,0.0002475,685290.19,167.38
2017-09-21,VENETH,0.000242,0.00026,0.0002367,0.0002494,793727.8,192.75
2017-09-20,VENETH,0.0002,0.0002475,0.0001855,0.000242,287594.14,65.47
2017-09-19,VENETH,0.000226,0.000249,0.00019,0.0002,12969.74,2.72
2017-09-18,VENETH,0.000255,0.0002729,0.0001278,0.000226,37707.66,7.7
2017-09-17,VENETH,0.0002743,0.0002745,0.0002256,0.000255,122331.96,31.27
2017-09-16,VENETH,0.00025,0.000275,0.00022,0.0002743,134130.01,34.42
2017-09-15,VENETH,0.0002336,0.0002855,0.0002336,0.00025,107118.91,28.11
2017-09-14,VENETH,0.00028,0.0002999,0.00021,0.0002336,468234.16,123.66
2017-09-13,VENETH,0.00034,0.00035,0.00026,0.00028,476496.25,138.67
