Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume EUR
2018-10-26,LSKEUR,2.63,2.65,2.54,2.65,3.26,8.51
2018-10-25,LSKEUR,2.65,2.94,2.55,2.63,352.94,913.19
2018-10-24,LSKEUR,2.72,2.8,2.65,2.65,116.3,314.46
2018-10-23,LSKEUR,2.74,2.79,2.72,2.72,43.09,119.04
2018-10-22,LSKEUR,2.53,2.74,2.41,2.74,14.53,38.16
2018-10-21,LSKEUR,2.53,2.53,2.53,2.53,0.0,0.0
2018-10-20,LSKEUR,2.42,2.53,2.42,2.53,1.29,3.26
2018-10-19,LSKEUR,2.42,2.42,2.42,2.42,0.0,0.0
2018-10-18,LSKEUR,2.55,2.55,2.42,2.42,16.69,40.57
2018-10-17,LSKEUR,2.75,2.75,2.55,2.55,207.99,530.92
2018-10-16,LSKEUR,2.36,2.75,2.36,2.75,83.22,221.19
2018-10-15,LSKEUR,2.4,2.4,2.36,2.36,18.57,44.04
2018-10-14,LSKEUR,2.42,2.42,2.39,2.4,21.0,50.23
2018-10-13,LSKEUR,2.5,2.51,2.37,2.42,557.45,1369.58
2018-10-12,LSKEUR,2.6,2.6,2.5,2.5,363.02,924.64
2018-10-11,LSKEUR,2.85,3.2,2.58,2.6,982.0,2840.36
2018-10-10,LSKEUR,2.87,2.94,2.85,2.85,68.99,199.06
2018-10-09,LSKEUR,2.84,3.2,2.82,2.87,64.89,197.59
2018-10-08,LSKEUR,2.77,2.84,2.77,2.84,33.69,95.68
2018-10-07,LSKEUR,2.86,2.86,2.77,2.77,29.85,82.85
2018-10-06,LSKEUR,2.8,2.92,2.8,2.86,41.12,117.65
2018-10-05,LSKEUR,2.75,2.92,2.75,2.8,62.49,173.59
2018-10-04,LSKEUR,2.74,2.75,2.74,2.75,12.17,33.39
2018-10-03,LSKEUR,2.78,2.78,2.74,2.74,8.34,22.85
2018-10-02,LSKEUR,2.95,2.95,2.74,2.78,274.49,795.23
2018-10-01,LSKEUR,3.19,3.19,2.7,2.95,49.02,140.57
2018-09-30,LSKEUR,3.19,3.19,3.19,3.19,0.0,0.0
2018-09-29,LSKEUR,2.8,3.19,2.69,3.19,127.14,372.85
2018-09-28,LSKEUR,2.99,2.99,2.8,2.8,22.33,62.51
2018-09-27,LSKEUR,2.69,2.99,2.69,2.99,3.78,10.81
2018-09-26,LSKEUR,2.63,2.7,2.63,2.69,45.18,121.8
2018-09-25,LSKEUR,3.19,3.19,2.61,2.63,111.6,306.48
2018-09-24,LSKEUR,2.89,3.29,2.76,3.19,354.88,989.69
2018-09-23,LSKEUR,2.81,2.98,2.78,2.89,83.25,237.39
2018-09-22,LSKEUR,2.8,2.96,2.8,2.81,35.85,100.49
2018-09-21,LSKEUR,2.96,2.98,2.8,2.8,18.17,52.87
2018-09-20,LSKEUR,2.9,2.96,2.7,2.96,458.72,1238.84
2018-09-19,LSKEUR,3.5,3.5,2.9,2.9,905.18,2626.33
2018-09-18,LSKEUR,2.92,3.65,2.92,3.5,61.4,191.34
2018-09-17,LSKEUR,2.91,3.02,2.91,2.92,1045.06,3065.86
2018-09-16,LSKEUR,2.91,2.91,2.91,2.91,11.49,33.45
2018-09-15,LSKEUR,3,3,2.9,2.91,449.63,1334.59
2018-09-14,LSKEUR,2.9,3.01,2.9,3,478.2,1434.74
2018-09-13,LSKEUR,2.42,2.9,2.42,2.9,236.61,685.48
2018-09-12,LSKEUR,3,3,2.41,2.42,269.74,730.86
2018-09-11,LSKEUR,3.12,3.13,3,3,277.6,839.89
2018-09-10,LSKEUR,3.7,3.7,3.09,3.12,59.56,184.6
2018-09-09,LSKEUR,3,3.89,2.99,3.7,171.07,562.36
2018-09-08,LSKEUR,3.43,3.43,3,3,254.54,781.04
2018-09-07,LSKEUR,3.45,3.45,3.2,3.43,75.43,247.17
2018-09-06,LSKEUR,3.77,3.77,3.45,3.45,60.0,207.05
2018-09-05,LSKEUR,3.83,3.89,3.48,3.77,265.42,958.61
2018-09-04,LSKEUR,3.82,3.85,3.82,3.83,85.0,326.44
2018-09-03,LSKEUR,4.31,4.31,3.82,3.82,839.07,3285.81
2018-09-02,LSKEUR,4.31,4.31,3.96,4.31,312.07,1265.32
2018-09-01,LSKEUR,4,4.31,4,4.31,69.12,283.79
2018-08-31,LSKEUR,3.9,4,3.9,4,187.29,749.04
