Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT
2019-07-28 04-PM,ETHUSDT,208.69,209.61,207.74,208.49,5238.37,1093592.2
2019-07-28 03-PM,ETHUSDT,208.24,209.35,207.88,208.69,3168.23,661231.56
2019-07-28 02-PM,ETHUSDT,208.85,209.56,208.22,208.24,4651.5,971978.35
2019-07-28 01-PM,ETHUSDT,209.37,209.52,208.5,208.85,5065.62,1058049.35
2019-07-28 12-PM,ETHUSDT,209.93,210.19,209.12,209.37,6736.65,1411884.52
2019-07-28 11-AM,ETHUSDT,208.32,210.96,208.27,209.93,11352.15,2378532.85
2019-07-28 10-AM,ETHUSDT,208.35,208.89,207.38,208.32,7862.98,1638725.08
2019-07-28 09-AM,ETHUSDT,209.45,210.28,208.2,208.35,8075.73,1691812.97
2019-07-28 08-AM,ETHUSDT,209.2,209.71,208.36,209.45,6359.77,1329871.81
2019-07-28 07-AM,ETHUSDT,210.26,210.63,209.17,209.2,3474.59,729154.42
2019-07-28 06-AM,ETHUSDT,209.55,211.14,209.46,210.26,4738.17,996296.28
2019-07-28 05-AM,ETHUSDT,209.89,211.13,209.5,209.55,6733.32,1415371.55
2019-07-28 04-AM,ETHUSDT,207.75,212,207.74,209.89,11612.66,2435681.14
2019-07-28 03-AM,ETHUSDT,206.92,208.11,206.8,207.75,3871.88,803708.95
2019-07-28 02-AM,ETHUSDT,207.72,208.01,206.9,206.92,6322.21,1313090.5
2019-07-28 01-AM,ETHUSDT,206.35,208.23,206.33,207.72,4530.64,939048.52
2019-07-28 12-AM,ETHUSDT,207.3,207.88,206.17,206.35,6395.74,1323272.57
2019-07-27 11-PM,ETHUSDT,206.6,208.07,206.19,207.3,8372.66,1732725.47
2019-07-27 10-PM,ETHUSDT,208.9,208.99,205.71,206.6,13884.11,2881491.03
2019-07-27 09-PM,ETHUSDT,208,209.27,207.81,208.9,4249.56,886208.12
2019-07-27 08-PM,ETHUSDT,207.34,208.24,206.8,208,3804.86,790476.83
2019-07-27 07-PM,ETHUSDT,207.1,208.61,206.66,207.34,4347.35,902859.3
2019-07-27 06-PM,ETHUSDT,208.21,209.02,206.9,207.1,6663.11,1385425.75
2019-07-27 05-PM,ETHUSDT,207.38,208.98,207,208.21,6089.38,1267587.97
2019-07-27 04-PM,ETHUSDT,206.67,207.77,206.4,207.38,5903.68,1222921.35
2019-07-27 03-PM,ETHUSDT,206.27,207.38,204.1,206.67,15805.65,3256450.5
2019-07-27 02-PM,ETHUSDT,206.52,207.45,205.84,206.27,7567.04,1563859.03
2019-07-27 01-PM,ETHUSDT,206.32,208.04,205.51,206.52,9385.88,1940990.05
2019-07-27 12-PM,ETHUSDT,209.29,209.29,203,206.32,23685.8,4860652.24
2019-07-27 11-AM,ETHUSDT,209.29,209.29,209.29,209.29,0.0,0.0
2019-07-27 10-AM,ETHUSDT,219.5,219.6,207.13,209.29,51184.98,10828946.28
2019-07-27 09-AM,ETHUSDT,220.14,220.55,218.88,219.5,5608.01,1233227.82
2019-07-27 08-AM,ETHUSDT,220.28,221.28,220.07,220.14,4079.07,899959.43
2019-07-27 07-AM,ETHUSDT,219.96,221.04,219.37,220.28,8434.73,1855273.37
2019-07-27 06-AM,ETHUSDT,220.36,220.86,219.88,219.96,5246.7,1155918.19
2019-07-27 05-AM,ETHUSDT,221.43,221.48,220.08,220.36,7169.66,1582167.02
2019-07-27 04-AM,ETHUSDT,221.55,221.97,220.89,221.43,7818.88,1730302.01
2019-07-27 03-AM,ETHUSDT,222.46,222.86,221.36,221.55,6760.76,1501556.25
2019-07-27 02-AM,ETHUSDT,221.41,222.5,220.81,222.46,9322.02,2067819.28
2019-07-27 01-AM,ETHUSDT,222.69,223.3,221.22,221.41,11699.03,2597782.4
2019-07-27 12-AM,ETHUSDT,218.81,222.75,218.5,222.69,22831.61,5051318.48
2019-07-26 11-PM,ETHUSDT,217.67,219.58,217.56,218.81,4373.64,957077.42
2019-07-26 10-PM,ETHUSDT,218.05,218.4,217.06,217.67,4780.21,1041359.41
2019-07-26 09-PM,ETHUSDT,218.06,218.39,216.2,218.05,7530.79,1637725.03
2019-07-26 08-PM,ETHUSDT,219.51,219.81,217.76,218.06,5982.03,1310191.42
2019-07-26 07-PM,ETHUSDT,218.83,220,218.68,219.51,7153.67,1570443.71
2019-07-26 06-PM,ETHUSDT,218.54,219.63,218.06,218.83,7589.72,1660776.66
2019-07-26 05-PM,ETHUSDT,218.88,219.23,217.28,218.54,11153.73,2435268.99
2019-07-26 04-PM,ETHUSDT,216.22,220,215.35,218.88,16135.44,3516798.62
2019-07-26 03-PM,ETHUSDT,215.42,216.39,214.9,216.22,6786.86,1463462.08
2019-07-26 02-PM,ETHUSDT,215.94,216.35,214.18,215.42,6807.58,1466501.42
2019-07-26 01-PM,ETHUSDT,215.97,216.66,215.33,215.94,6369.21,1375252.45
2019-07-26 12-PM,ETHUSDT,215.96,217.2,215.73,215.97,2857.72,618264.31
2019-07-26 11-AM,ETHUSDT,215.96,215.96,215.96,215.96,0.0,0.0
2019-07-26 10-AM,ETHUSDT,215.96,215.96,215.96,215.96,0.0,0.0
2019-07-26 09-AM,ETHUSDT,215.96,215.96,215.96,215.96,0.0,0.0
2019-07-26 08-AM,ETHUSDT,215.96,215.96,215.96,215.96,0.0,0.0
2019-07-26 07-AM,ETHUSDT,213.81,216,213.81,215.96,5093.54,1095466.49
2019-07-26 06-AM,ETHUSDT,215.16,215.27,213.04,213.81,5870.76,1256998.72
2019-07-26 05-AM,ETHUSDT,215.29,215.33,214.87,215.16,2718.24,584735.51
2019-07-26 04-AM,ETHUSDT,214.82,215.3,214.47,215.29,4976.33,1069216.33
2019-07-26 03-AM,ETHUSDT,214.23,215.6,213.2,214.82,7772.41,1665727.18
2019-07-26 02-AM,ETHUSDT,213.88,215.04,213.67,214.23,5254.19,1126831.99
2019-07-26 01-AM,ETHUSDT,216.34,216.42,212.71,213.88,9661.01,2069546.98
2019-07-26 12-AM,ETHUSDT,219.14,219.16,214.6,216.34,18012.41,3898456.9
