Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume AUD
2019-06-24 03-PM,LTCAUD,195.77,195.77,194.36,194.66,42.9,8339.8
2019-06-24 02-PM,LTCAUD,194.44,195.77,194.44,195.77,53.6,10439.17
2019-06-24 01-PM,LTCAUD,196.03,196.05,194.44,194.44,150.07,29369.53
2019-06-24 12-PM,LTCAUD,194.57,196.04,193.61,196.03,160.93,31366.79
2019-06-24 11-AM,LTCAUD,196,196,194.5,194.57,51.37,10026.51
2019-06-24 10-AM,LTCAUD,196.11,197.6,196,196,74.0,14569.41
2019-06-24 09-AM,LTCAUD,195.52,196.27,195,196.11,26.49,5172.74
2019-06-24 08-AM,LTCAUD,195.52,196.66,195,195.52,33.21,6511.64
2019-06-24 07-AM,LTCAUD,193.88,195.56,193.88,195.52,12.3,2404.36
2019-06-24 06-AM,LTCAUD,196,196,193.88,193.88,25.72,4996.72
2019-06-24 05-AM,LTCAUD,195,196,195,196,271.56,53083.54
2019-06-24 04-AM,LTCAUD,193.78,195,193.21,195,64.23,12476.67
2019-06-24 03-AM,LTCAUD,193.14,193.95,192.5,193.78,241.06,46548.9
2019-06-24 02-AM,LTCAUD,194.67,194.96,193.14,193.14,76.69,14910.82
2019-06-24 01-AM,LTCAUD,195.35,195.48,194.4,194.67,100.44,19567.62
2019-06-24 12-AM,LTCAUD,196.4,197.31,192.08,195.35,642.83,125401.37
2019-06-23 11-PM,LTCAUD,199.15,199.15,196.02,196.4,69.29,13641.27
2019-06-23 10-PM,LTCAUD,198.8,200.54,197.1,199.15,211.38,41947.34
2019-06-23 09-PM,LTCAUD,200.5,202.75,196.44,198.8,183.56,36553.72
2019-06-23 08-PM,LTCAUD,201.25,202.57,200.5,200.5,68.02,13702.02
2019-06-23 07-PM,LTCAUD,201.75,201.75,201.12,201.25,1.416,285.39
2019-06-23 06-PM,LTCAUD,201.23,201.75,201,201.75,19.75,3979.01
2019-06-23 05-PM,LTCAUD,201.56,201.56,201.23,201.23,0.02375,4.78
2019-06-23 04-PM,LTCAUD,202.34,202.34,201.48,201.56,50.48,10174.14
2019-06-23 03-PM,LTCAUD,202.5,202.5,201.48,202.34,8.21,1660.46
2019-06-23 02-PM,LTCAUD,200.76,202.5,200.63,202.5,107.46,21649.26
2019-06-23 01-PM,LTCAUD,201.03,201.59,200.76,200.76,18.22,3667.55
2019-06-23 12-PM,LTCAUD,200.34,201.67,200.34,201.03,63.95,12865.04
2019-06-23 11-AM,LTCAUD,200.13,201.44,200.13,200.34,55.13,11074.5
2019-06-23 10-AM,LTCAUD,201.56,201.8,199.47,200.13,121.66,24382.15
2019-06-23 09-AM,LTCAUD,202.78,203.16,201.54,201.56,30.84,6225.83
2019-06-23 08-AM,LTCAUD,203.24,203.84,202.75,202.78,67.12,13619.14
2019-06-23 07-AM,LTCAUD,203.53,203.88,202.75,203.24,52.25,10620.49
2019-06-23 06-AM,LTCAUD,203.13,204.47,203.13,203.53,36.57,7467.02
2019-06-23 05-AM,LTCAUD,203.02,203.41,202,203.13,13.42,2724.65
2019-06-23 04-AM,LTCAUD,202.94,203.97,202.78,203.02,35.54,7229.86
2019-06-23 03-AM,LTCAUD,204.34,204.34,202,202.94,56.17,11380.65
2019-06-23 02-AM,LTCAUD,205,205,203.49,204.34,75.22,15342.63
2019-06-23 01-AM,LTCAUD,203.28,205,202.26,205,118.17,24130.8
2019-06-23 12-AM,LTCAUD,201.39,205.99,201.39,203.28,85.1,17316.88
2019-06-22 11-PM,LTCAUD,200.4,202.76,199.6,201.39,97.33,19514.99
2019-06-22 10-PM,LTCAUD,202.44,202.45,200,200.4,450.57,90313.88
2019-06-22 09-PM,LTCAUD,202.96,202.96,202.44,202.44,14.75,2986.78
2019-06-22 08-PM,LTCAUD,202.62,203.18,202.62,202.96,16.15,3281.13
2019-06-22 07-PM,LTCAUD,205,205,202.44,202.62,195.66,39669.93
2019-06-22 06-PM,LTCAUD,206.65,206.65,205,205,12.73,2620.22
2019-06-22 05-PM,LTCAUD,202.46,207.75,202.46,206.65,82.26,17031.01
2019-06-22 04-PM,LTCAUD,202.44,203.16,202.44,202.46,27.74,5616.1
2019-06-22 03-PM,LTCAUD,203.01,205.39,202.44,202.44,220.34,44701.6
2019-06-22 02-PM,LTCAUD,206.4,210.8,200.48,203.01,1489.36,306267.28
2019-06-22 01-PM,LTCAUD,202.45,206.49,202.45,206.4,173.69,35703.12
2019-06-22 12-PM,LTCAUD,202.7,204.54,202.12,202.45,123.27,25053.39
2019-06-22 11-AM,LTCAUD,202.32,204.26,201.93,202.7,44.26,8992.72
2019-06-22 10-AM,LTCAUD,203.05,203.97,202.32,202.32,266.41,54094.57
2019-06-22 09-AM,LTCAUD,205.57,205.57,202.94,203.05,101.28,20704.41
2019-06-22 08-AM,LTCAUD,203,205.87,202.62,205.57,142.54,29169.94
2019-06-22 07-AM,LTCAUD,204.91,204.95,202.63,203,51.0,10405.95
2019-06-22 06-AM,LTCAUD,204.22,205.39,204,204.91,92.72,18962.21
