Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume TRX,Volume BTC
2018-06-27 04-AM,TRXBTC,6.18e-06,6.29e-06,6.17e-06,6.29e-06,206000.0,1.28
2018-06-27 03-AM,TRXBTC,6.24e-06,6.26e-06,6.18e-06,6.18e-06,279000.0,1.73
2018-06-27 02-AM,TRXBTC,6.27e-06,6.27e-06,6.24e-06,6.24e-06,57000.0,0.3567
2018-06-27 01-AM,TRXBTC,6.23e-06,6.28e-06,6.21e-06,6.27e-06,398000.0,2.49
2018-06-27 12-AM,TRXBTC,6.25e-06,6.26e-06,6.19e-06,6.23e-06,985000.0,6.13
2018-06-26 11-PM,TRXBTC,6.35e-06,6.35e-06,6.22e-06,6.25e-06,1195000.0,7.49
2018-06-26 10-PM,TRXBTC,6.39e-06,6.4e-06,6.3e-06,6.35e-06,603000.0,3.83
2018-06-26 09-PM,TRXBTC,6.42e-06,6.42e-06,6.33e-06,6.39e-06,886000.0,5.66
2018-06-26 08-PM,TRXBTC,6.36e-06,6.42e-06,6.36e-06,6.42e-06,112000.0,0.7168
2018-06-26 07-PM,TRXBTC,6.36e-06,6.39e-06,6.35e-06,6.36e-06,111000.0,0.7077
2018-06-26 06-PM,TRXBTC,6.42e-06,6.44e-06,6.36e-06,6.36e-06,722000.0,4.63
2018-06-26 05-PM,TRXBTC,6.43e-06,6.46e-06,6.4e-06,6.42e-06,185000.0,1.19
2018-06-26 04-PM,TRXBTC,6.47e-06,6.51e-06,6.43e-06,6.43e-06,214000.0,1.38
2018-06-26 03-PM,TRXBTC,6.49e-06,6.49e-06,6.44e-06,6.47e-06,288000.0,1.86
2018-06-26 02-PM,TRXBTC,6.56e-06,6.58e-06,6.47e-06,6.49e-06,805000.0,5.27
2018-06-26 01-PM,TRXBTC,6.58e-06,6.63e-06,6.55e-06,6.56e-06,411000.0,2.71
2018-06-26 12-PM,TRXBTC,6.57e-06,6.58e-06,6.55e-06,6.58e-06,94000.0,0.6179
2018-06-26 11-AM,TRXBTC,6.55e-06,6.57e-06,6.53e-06,6.57e-06,136000.0,0.8903
2018-06-26 10-AM,TRXBTC,6.57e-06,6.58e-06,6.54e-06,6.55e-06,62000.0,0.4061
2018-06-26 09-AM,TRXBTC,6.58e-06,6.58e-06,6.54e-06,6.57e-06,249000.0,1.63
2018-06-26 08-AM,TRXBTC,6.6e-06,6.61e-06,6.55e-06,6.58e-06,59000.0,0.388
2018-06-26 07-AM,TRXBTC,6.61e-06,6.61e-06,6.59e-06,6.6e-06,39000.0,0.2577
2018-06-26 06-AM,TRXBTC,6.62e-06,6.63e-06,6.59e-06,6.61e-06,20000.0,0.1321
2018-06-26 05-AM,TRXBTC,6.57e-06,6.62e-06,6.57e-06,6.62e-06,737000.0,4.87
2018-06-26 04-AM,TRXBTC,6.57e-06,6.58e-06,6.55e-06,6.57e-06,62000.0,0.4069
2018-06-26 03-AM,TRXBTC,6.55e-06,6.59e-06,6.55e-06,6.57e-06,81000.0,0.5317
2018-06-26 02-AM,TRXBTC,6.57e-06,6.59e-06,6.55e-06,6.55e-06,24000.0,0.1575
2018-06-26 01-AM,TRXBTC,6.6e-06,6.6e-06,6.56e-06,6.57e-06,161000.0,1.06
2018-06-26 12-AM,TRXBTC,6.73e-06,6.73e-06,6.6e-06,6.6e-06,76000.0,0.5061
