Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume RUR
2018-09-06,ETHRUR,16499.97,16899.99,15727.59,16422.57,397.48,6463304.94
2018-09-05,ETHRUR,19361,19503.02,16050,16499.97,391.35,6986988.13
2018-09-04,ETHRUR,19400,19700,19300.04,19361,194.8,3795969.91
2018-09-03,ETHRUR,19659.37,19780,19200,19400,183.15,3561021.03
2018-09-02,ETHRUR,20000.22,20295.35,19380,19659.37,193.47,3805579.98
2018-09-01,ETHRUR,18999.59,20333.35,18900,20000.22,213.19,4163317.06
2018-08-31,ETHRUR,19311,19590.39,18905.19,18999.59,190.09,3622698.92
2018-08-30,ETHRUR,19600.04,19768.89,18900,19311,216.32,4151868.75
2018-08-29,ETHRUR,20099.08,20200,19275,19600.04,207.15,4083427.31
2018-08-28,ETHRUR,18777.2,20150,18513.04,20099.08,276.83,5345598.83
2018-08-27,ETHRUR,18310,18862,18134,18777.2,224.02,4125631.44
2018-08-26,ETHRUR,18760,18800,18019.98,18310,178.69,3279149.29
2018-08-25,ETHRUR,18996.01,19000,18571.02,18760,117.75,2203579.76
2018-08-24,ETHRUR,18950,19034.64,18500,18996.01,144.76,2711348.21
2018-08-23,ETHRUR,18674.99,19200,18435,18950,135.68,2548123.14
2018-08-22,ETHRUR,19055.62,19479.1,18249.74,18674.99,214.49,4068804.2
2018-08-21,ETHRUR,19000,19500,18700,19055.62,206.4,3927545.2
2018-08-20,ETHRUR,20500,20635,19000,19000,196.05,3877338.85
2018-08-19,ETHRUR,20498.04,20701,19874.28,20500,142.55,2897757.7
2018-08-18,ETHRUR,20899.08,21614.5,19560,20498.04,166.04,3418478.59
2018-08-17,ETHRUR,19756.45,21300.14,19606.06,20899.08,148.56,3029554.3
2018-08-16,ETHRUR,19691.82,20301.26,19150,19756.45,170.38,3383899.86
2018-08-15,ETHRUR,19149.97,20450,18967.1,19691.82,343.35,6740598.49
2018-08-14,ETHRUR,20398.1,20498.1,18010,19149.97,496.91,9369141.49
2018-08-13,ETHRUR,22811.35,23000.99,20301,20398.1,279.62,6079738.37
2018-08-12,ETHRUR,22543.61,22543.61,22543.61,22543.61,0.0,0.0
2018-08-11,ETHRUR,23752.29,24669.96,22400,22543.61,133.07,3039551.3
2018-08-10,ETHRUR,25000,25150,23300,23752.29,188.98,4596814.19
2018-08-09,ETHRUR,24180.17,25187.67,23814.92,25000,177.75,4345142.37
2018-08-08,ETHRUR,24949.4,25346.23,23500.01,24180.17,233.16,5619633.72
2018-08-07,ETHRUR,26572.97,26600,24900,24949.4,203.63,5277050.04
2018-08-06,ETHRUR,26634,26811,26300.01,26572.97,123.26,3267580.83
2018-08-05,ETHRUR,26953.8,27070,26555.56,26634,103.87,2777205.82
2018-08-04,ETHRUR,26776,27200,26060.01,26953.8,149.39,3972165.62
2018-08-03,ETHRUR,25880.03,26810,25599,26776,151.4,3935391.87
2018-08-02,ETHRUR,26070,26500,25599,25880.03,137.78,3585564.75
2018-08-01,ETHRUR,27000,27498.02,25800,26070,157.93,4154962.11
2018-07-31,ETHRUR,27690,27921.6,26708.69,27000,181.57,4949462.05
2018-07-30,ETHRUR,28179.99,28233.79,27510.99,27690,208.4,5809277.35
2018-07-29,ETHRUR,28250,28400,27700,28179.99,86.47,2413781.87
2018-07-28,ETHRUR,28483,28483,27703.09,28250,88.77,2489206.87
2018-07-27,ETHRUR,28607.01,28695.03,27899.2,28483,137.08,3875942.01
2018-07-26,ETHRUR,28565.02,29000,28300,28607.01,198.65,5719245.95
2018-07-25,ETHRUR,28837.61,29109.42,27703,28565.02,176.97,5028651.71
2018-07-24,ETHRUR,28243.51,29200,28000,28837.61,177.23,5091022.61
2018-07-23,ETHRUR,28799.99,28989,28012.1,28243.51,173.96,4963309.4
2018-07-22,ETHRUR,28804,29099.9,28503,28799.99,116.05,3334416.73
2018-07-21,ETHRUR,27934.27,29200,27934.27,28804,123.86,3546449.55
2018-07-20,ETHRUR,28800,29089.98,27800,27934.27,141.7,4036317.12
2018-07-19,ETHRUR,29299.99,29299.99,28500,28800,167.74,4838280.93
2018-07-18,ETHRUR,29838.08,30000.78,28737.06,29299.99,255.66,7577952.41
2018-07-17,ETHRUR,28999.84,30000,28299,29838.08,192.77,5597834.33
2018-07-16,ETHRUR,27912,29000,27700.1,28999.84,190.7,5434588.66
2018-07-15,ETHRUR,27301.72,28129.95,27100,27912,108.47,2999309.78
2018-07-14,ETHRUR,27230.16,27510,27080,27301.72,99.67,2717981.85
2018-07-13,ETHRUR,27101.15,27900,27073.41,27230.16,121.07,3319877.59
2018-07-12,ETHRUR,28200,28450,27007.1,27101.15,139.38,3835222.2
