Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LIZ,Volume ARUR
2018-08-12 07-AM,LIZARUR,98.8,99,85,95.9,1110.8,97218.85
2018-08-12 06-AM,LIZARUR,98,99,88.22,98.8,43.76,4111.38
2018-08-12 05-AM,LIZARUR,105,105,88.01,98,34.77,3152.04
2018-08-12 04-AM,LIZARUR,97.4,105,97.4,105,0.3226,33.87
2018-08-12 03-AM,LIZARUR,100,100,97.4,97.4,3.01,297.7
2018-08-12 02-AM,LIZARUR,100,100,100,100,0.0,0.0
2018-08-12 01-AM,LIZARUR,110.9,110.9,100,100,2.97,297.46
2018-08-12 12-AM,LIZARUR,111,111,100,110.9,12.13,1222.84
2018-08-11 11-PM,LIZARUR,111,111,111,111,0.0,0.0
2018-08-11 10-PM,LIZARUR,111,111,111,111,3.23,359.0
2018-08-11 09-PM,LIZARUR,100,111,100,111,37.19,4096.94
2018-08-11 08-PM,LIZARUR,100,111,100,100,2.67,289.52
2018-08-11 07-PM,LIZARUR,111,111,100,100,0.0672,6.72
2018-08-11 06-PM,LIZARUR,105,111,105,111,13.12,1433.12
2018-08-11 05-PM,LIZARUR,105,107,91,105,42.72,4484.23
2018-08-11 04-PM,LIZARUR,102.2,107,93,105,94.48,9060.5
2018-08-11 03-PM,LIZARUR,112,112,90.3,102.2,74.45,6886.82
2018-08-11 02-PM,LIZARUR,96,115.98,88,112,279.03,27197.86
2018-08-11 01-PM,LIZARUR,96,118,96,96,69.94,6720.28
2018-08-11 12-PM,LIZARUR,119,119,95.31,96,125.8,14272.9
2018-08-11 11-AM,LIZARUR,100,119,93.01,119,269.53,27113.67
2018-08-11 10-AM,LIZARUR,105.5,105.5,100,100,234.86,23515.94
2018-08-11 09-AM,LIZARUR,115,155,105.5,105.5,126.58,14236.94
2018-08-11 08-AM,LIZARUR,130,132.11,115,115,86.36,10469.23
2018-08-11 07-AM,LIZARUR,130,170,126,130,13.59,2026.68
2018-08-11 06-AM,LIZARUR,145,145,130,130,1.02,146.23
2018-08-11 05-AM,LIZARUR,145,145,145,145,0.0,0.0
2018-08-11 04-AM,LIZARUR,145,145,145,145,0.0,0.0
2018-08-11 03-AM,LIZARUR,145,145,144.42,145,0.9918,143.78
2018-08-11 02-AM,LIZARUR,129,145,129,145,0.03647,5.29
2018-08-11 01-AM,LIZARUR,129,129,129,129,0.0,0.0
2018-08-11 12-AM,LIZARUR,129,129,129,129,0.0007931,0.1023
2018-08-10 11-PM,LIZARUR,145,145,129,129,0.009599,1.24
2018-08-10 10-PM,LIZARUR,145,145,145,145,0.0,0.0
2018-08-10 09-PM,LIZARUR,173,173,130.1,145,11.44,1565.78
2018-08-10 08-PM,LIZARUR,164.5,173,137,173,7.27,1213.0
