Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume PLN
2019-06-19 11-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 10-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 09-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 08-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 07-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 06-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 05-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 04-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 03-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 02-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 01-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 12-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 11-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 10-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 09-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 08-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 07-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 06-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 05-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 04-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 03-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 02-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 01-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-19 12-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-18 11-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-18 10-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-18 09-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
