Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume METH
2018-07-13,QTUMETH,0.01741,0.01774,0.01729,0.01769,59045.83,1037.59
2018-07-12,QTUMETH,0.01749,0.01781,0.01708,0.01741,64596.31,1122.35
2018-07-11,QTUMETH,0.01809,0.01809,0.01743,0.01749,63325.78,1122.23
2018-07-10,QTUMETH,0.01811,0.01826,0.0176,0.01809,62575.99,1126.88
2018-07-09,QTUMETH,0.01818,0.01911,0.01806,0.01811,64090.36,1179.66
2018-07-08,QTUMETH,0.01886,0.019,0.01817,0.01818,59959.78,1118.26
2018-07-07,QTUMETH,0.01911,0.02024,0.01877,0.01886,70612.34,1364.44
2018-07-06,QTUMETH,0.01859,0.0193,0.01847,0.01911,65838.35,1237.34
2018-07-05,QTUMETH,0.01908,0.01961,0.01835,0.01859,67094.3,1269.83
2018-07-04,QTUMETH,0.01907,0.0194,0.01871,0.01908,73497.14,1402.48
2018-07-03,QTUMETH,0.01929,0.01964,0.01889,0.01907,64692.55,1247.04
2018-07-02,QTUMETH,0.01893,0.01981,0.01863,0.01929,63143.98,1204.5
2018-07-01,QTUMETH,0.01875,0.01956,0.0184,0.01893,63185.05,1188.35
2018-06-30,QTUMETH,0.01881,0.0193,0.01855,0.01875,68008.99,1281.88
2018-06-29,QTUMETH,0.01835,0.01906,0.01825,0.01881,76242.11,1418.96
2018-06-28,QTUMETH,0.01998,0.02002,0.01827,0.01835,61675.8,1200.0
2018-06-27,QTUMETH,0.01906,0.0218,0.01894,0.01998,72610.16,1478.53
2018-06-26,QTUMETH,0.01813,0.02105,0.01772,0.01906,72646.22,1362.8
2018-06-25,QTUMETH,0.01772,0.01836,0.01711,0.01813,79424.49,1410.95
2018-06-24,QTUMETH,0.01857,0.01869,0.017,0.01772,66367.34,1179.46
2018-06-23,QTUMETH,0.01917,0.01932,0.01813,0.01857,62867.12,1168.3
2018-06-22,QTUMETH,0.01939,0.01978,0.01891,0.01917,93769.9,1813.59
2018-06-21,QTUMETH,0.01935,0.01968,0.01906,0.01939,63647.07,1230.85
2018-06-20,QTUMETH,0.01986,0.01999,0.01917,0.01935,69887.72,1354.78
2018-06-19,QTUMETH,0.02049,0.02056,0.01961,0.01986,65961.0,1317.66
2018-06-18,QTUMETH,0.02095,0.02114,0.02028,0.02049,65239.29,1345.73
2018-06-17,QTUMETH,0.02131,0.02135,0.02087,0.02095,60465.46,1275.11
2018-06-16,QTUMETH,0.02167,0.02181,0.02102,0.02131,63381.59,1350.97
2018-06-15,QTUMETH,0.02138,0.02193,0.0211,0.02167,72754.19,1562.47
2018-06-14,QTUMETH,0.02208,0.02253,0.02114,0.02138,64845.73,1424.01
2018-06-13,QTUMETH,0.02254,0.02314,0.02164,0.02208,64752.49,1450.94
2018-06-12,QTUMETH,0.02239,0.024,0.02172,0.02254,78963.19,1788.56
2018-06-11,QTUMETH,0.02173,0.02239,0.0214,0.02239,64422.74,1400.65
2018-06-10,QTUMETH,0.02201,0.02281,0.02117,0.02173,79273.86,1738.87
2018-06-09,QTUMETH,0.02227,0.02227,0.022,0.02201,67049.18,1480.82
2018-06-08,QTUMETH,0.02252,0.0226,0.022,0.02227,59704.74,1328.44
2018-06-07,QTUMETH,0.02246,0.02265,0.02227,0.02252,61015.98,1371.18
2018-06-06,QTUMETH,0.0228,0.02292,0.02225,0.02246,61950.11,1399.9
2018-06-05,QTUMETH,0.02298,0.0235,0.0225,0.0228,72295.35,1648.62
2018-06-04,QTUMETH,0.02361,0.02384,0.02273,0.02298,65577.61,1517.26
