Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HETH
2018-10-01,DASHETH,0.802,0.8214,0.7994,0.8107,107.33,86.99
2018-09-30,DASHETH,0.8162,0.8173,0.7958,0.802,162.95,131.29
2018-09-29,DASHETH,0.8436,0.8627,0.803,0.8162,151.66,125.28
2018-09-28,DASHETH,0.8546,0.8637,0.8375,0.8436,173.85,147.25
2018-09-27,DASHETH,0.8539,0.8729,0.8414,0.8546,135.91,116.97
2018-09-26,DASHETH,0.8674,0.8915,0.848,0.8539,131.95,115.37
2018-09-25,DASHETH,0.869,0.8902,0.8551,0.8674,126.73,110.29
2018-09-24,DASHETH,0.8371,0.869,0.821,0.869,129.55,108.46
2018-09-23,DASHETH,0.8508,0.8779,0.8351,0.8371,146.77,125.17
2018-09-22,DASHETH,0.8454,0.8755,0.8291,0.8508,161.91,137.38
2018-09-21,DASHETH,0.8939,0.935,0.8257,0.8454,193.82,172.27
2018-09-20,DASHETH,0.9139,0.9213,0.8864,0.8939,141.86,128.96
2018-09-19,DASHETH,0.9179,0.9409,0.9,0.9139,151.61,138.37
2018-09-18,DASHETH,0.9293,0.938,0.8732,0.9179,213.69,193.86
2018-09-17,DASHETH,0.8738,0.9628,0.8633,0.9293,243.17,221.79
2018-09-16,DASHETH,0.86,0.9022,0.8476,0.8738,138.42,119.85
2018-09-15,DASHETH,0.9105,0.9125,0.8399,0.86,172.5,150.99
2018-09-14,DASHETH,0.9083,0.9324,0.881,0.9105,177.57,160.03
2018-09-13,DASHETH,1.01,1.02,0.9082,0.9083,508.61,496.5
2018-09-12,DASHETH,1.02,1.07,0.9874,1.01,191.1,195.25
2018-09-11,DASHETH,1.02,1.05,0.9946,1.02,222.98,228.05
2018-09-10,DASHETH,0.9852,1.06,0.9793,1.02,251.3,258.3
2018-09-09,DASHETH,0.9448,0.9922,0.9273,0.9852,319.24,307.26
2018-09-08,DASHETH,0.8639,0.9766,0.8604,0.9448,346.39,318.08
2018-09-07,DASHETH,0.7872,0.8816,0.7753,0.8639,351.57,284.64
2018-09-06,DASHETH,0.7547,0.7891,0.7341,0.7872,253.86,192.16
2018-09-05,DASHETH,0.7613,0.7994,0.7329,0.7547,306.52,234.06
2018-09-04,DASHETH,0.7504,0.7662,0.7392,0.7613,142.4,107.59
2018-09-03,DASHETH,0.7212,0.7685,0.7125,0.7504,137.38,100.51
2018-09-02,DASHETH,0.7538,0.7568,0.7059,0.7212,214.89,156.26
2018-09-01,DASHETH,0.6891,0.7783,0.6884,0.7538,340.84,250.1
2018-08-31,DASHETH,0.6517,0.693,0.6492,0.6891,195.61,131.4
2018-08-30,DASHETH,0.6494,0.6587,0.6282,0.6517,253.46,161.85
2018-08-29,DASHETH,0.6556,0.6816,0.6396,0.6494,172.54,114.06
2018-08-28,DASHETH,0.6414,0.6828,0.6054,0.6556,301.24,193.67
2018-08-27,DASHETH,0.5147,0.6708,0.5108,0.6414,315.02,185.48
2018-08-26,DASHETH,0.5222,0.5246,0.5094,0.5147,119.21,61.7
2018-08-25,DASHETH,0.5159,0.5227,0.5078,0.5222,118.38,60.8
2018-08-24,DASHETH,0.5078,0.5214,0.501,0.5159,125.68,63.86
2018-08-23,DASHETH,0.5059,0.5138,0.4972,0.5078,133.45,67.76
2018-08-22,DASHETH,0.5056,0.5255,0.4982,0.5059,183.58,93.88
2018-08-21,DASHETH,0.5207,0.5246,0.5036,0.5056,132.26,67.86
2018-08-20,DASHETH,0.5161,0.5277,0.5078,0.5207,133.34,68.92
2018-08-19,DASHETH,0.5159,0.5324,0.5082,0.5161,204.78,105.89
2018-08-18,DASHETH,0.5286,0.542,0.5064,0.5159,176.89,92.91
2018-08-17,DASHETH,0.5278,0.5386,0.5135,0.5286,143.68,75.9
2018-08-16,DASHETH,0.5462,0.5487,0.5186,0.5278,141.81,75.78
2018-08-15,DASHETH,0.4958,0.5505,0.493,0.5462,211.2,111.18
2018-08-14,DASHETH,0.5067,0.5372,0.4953,0.4958,330.11,172.3
2018-08-13,DASHETH,0.5275,0.5371,0.5018,0.5067,607.91,316.94
2018-08-12,DASHETH,0.527,0.527,0.527,0.527,0.0,0.0
2018-08-11,DASHETH,0.5072,0.5336,0.5032,0.527,97.06,50.43
2018-08-10,DASHETH,0.5046,0.5236,0.4949,0.5072,671.84,343.56
2018-08-09,DASHETH,0.4861,0.5293,0.4851,0.5046,219.73,109.76
2018-08-08,DASHETH,0.4955,0.5246,0.4771,0.4861,359.51,179.63
2018-08-07,DASHETH,0.4918,0.521,0.4903,0.4955,159.74,79.74
2018-08-06,DASHETH,0.5057,0.5151,0.49,0.4918,119.69,60.26
2018-08-05,DASHETH,0.4971,0.5106,0.4944,0.5057,166.78,83.9
