Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume IDR
2019-06-22 10-AM,BTCIDR,154799000,155500000,154054000,155306000,0.4888,75685882.46
2019-06-22 09-AM,BTCIDR,154417000,154799000,153969000,154799000,0.2734,42238572.21
2019-06-22 08-AM,BTCIDR,152506000,154561000,152395000,154417000,0.1622,24931559.44
2019-06-22 07-AM,BTCIDR,153270000,153270000,152270000,152506000,0.2396,36565505.29
2019-06-22 06-AM,BTCIDR,152500000,153294000,152265000,153270000,0.07019,10700610.18
2019-06-22 05-AM,BTCIDR,152000000,153100000,152000000,152500000,0.4867,74218815.47
2019-06-22 04-AM,BTCIDR,151502000,153100000,150731000,152000000,0.4099,62305455.55
2019-06-22 03-AM,BTCIDR,152469000,155700000,151502000,151502000,0.6556,100840765.01
2019-06-22 02-AM,BTCIDR,149690000,152500000,149326000,152469000,0.4073,61366592.01
2019-06-22 01-AM,BTCIDR,144189000,150000000,143751000,149690000,0.9105,134133309.08
2019-06-22 12-AM,BTCIDR,143500000,144200000,143500000,144189000,0.2925,42086018.07
2019-06-21 11-PM,BTCIDR,140250000,143500000,140250000,143500000,0.6563,93447730.24
2019-06-21 10-PM,BTCIDR,140251000,140254000,140250000,140250000,0.01941,2722309.03
2019-06-21 09-PM,BTCIDR,140201000,141260000,140201000,140251000,0.01912,2682334.64
2019-06-21 08-PM,BTCIDR,140200000,140201000,140200000,140201000,0.004086,572861.29
2019-06-21 07-PM,BTCIDR,141500000,141500000,140200000,140200000,0.09768,13720469.82
2019-06-21 06-PM,BTCIDR,141296000,141500000,140511000,141500000,0.0274,3870233.36
2019-06-21 05-PM,BTCIDR,140900000,141298000,140511000,141296000,0.07114,10041770.02
2019-06-21 04-PM,BTCIDR,140500000,140985000,140401000,140900000,0.4835,68041031.8
2019-06-21 03-PM,BTCIDR,140088000,140989000,139880000,140500000,0.1899,26683529.66
2019-06-21 02-PM,BTCIDR,138856000,140200000,138856000,140088000,0.4473,62505042.37
2019-06-21 01-PM,BTCIDR,139972000,141555000,138648000,138856000,0.595,83223184.75
2019-06-21 12-PM,BTCIDR,139671000,139990000,139372000,139972000,0.2752,38505406.04
2019-06-21 11-AM,BTCIDR,139000000,139950000,138900000,139671000,0.1126,15695484.61
2019-06-21 10-AM,BTCIDR,138999000,139257000,138998000,139000000,0.3931,54678198.52
2019-06-21 09-AM,BTCIDR,138504000,138999000,138500000,138999000,0.1996,27703348.9
2019-06-21 08-AM,BTCIDR,138355000,138801000,138000000,138504000,0.1539,21303770.87
2019-06-21 07-AM,BTCIDR,138000000,138355000,138000000,138355000,0.1929,26682669.41
2019-06-21 06-AM,BTCIDR,139890000,139890000,138000000,138000000,0.1071,14834988.88
2019-06-21 05-AM,BTCIDR,138607000,139899000,138607000,139890000,0.05216,7245414.32
2019-06-21 04-AM,BTCIDR,137883000,139990000,135755000,138607000,0.7697,106856899.78
2019-06-21 03-AM,BTCIDR,137902000,138000000,133300000,137883000,0.5034,68935043.17
2019-06-21 02-AM,BTCIDR,138000000,138581000,137902000,137902000,0.3613,49951800.63
