Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume SGD
2018-08-06,ETHSGD,554.88,569.3,525,525,25.83,14053.96
2018-08-05,ETHSGD,550,555,548.01,554.88,14.29,7871.45
2018-08-04,ETHSGD,566,566,550,550,12.57,6912.44
2018-08-03,ETHSGD,560,566,550,566,89.79,49994.98
2018-08-02,ETHSGD,568.45,579,552,560,157.6,89954.82
2018-08-01,ETHSGD,587.54,590,551,568.45,293.6,166891.06
2018-07-31,ETHSGD,614.94,618.05,580.2,587.54,807.47,481084.17
2018-07-30,ETHSGD,633.62,633.62,608.88,614.94,286.4,178610.83
2018-07-29,ETHSGD,630.22,634.04,612.59,633.62,14.34,9009.25
2018-07-28,ETHSGD,636.26,639.91,609.31,630.22,131.04,82850.07
2018-07-27,ETHSGD,623.47,636.5,621.59,636.26,228.05,142894.31
2018-07-26,ETHSGD,634.65,654.7,623.29,623.47,151.21,96573.62
2018-07-25,ETHSGD,650.36,656.93,623.48,634.65,106.73,68233.83
2018-07-24,ETHSGD,617.2,652.05,612.82,650.36,79.02,50009.33
2018-07-23,ETHSGD,620.26,665.59,615.51,617.2,111.65,70190.71
2018-07-22,ETHSGD,630.38,637.76,620.26,620.26,11.39,7155.26
2018-07-21,ETHSGD,610.55,633.53,610.27,630.38,35.13,21846.68
2018-07-20,ETHSGD,644.94,666.53,591.15,610.55,187.75,116996.18
2018-07-19,ETHSGD,648.88,655.33,620.64,644.94,81.57,52356.77
2018-07-18,ETHSGD,681.72,701,640.5,648.88,80.27,54268.54
2018-07-17,ETHSGD,650,681.98,649,681.72,358.91,234412.74
2018-07-16,ETHSGD,602.25,650,602.2,650,384.66,238990.85
2018-07-15,ETHSGD,593.46,602.25,593.46,602.25,184.43,110632.57
2018-07-14,ETHSGD,590.05,593.97,587.33,593.46,175.0,103104.3
2018-07-13,ETHSGD,582.7,600,582.7,590.05,217.06,129645.34
2018-07-12,ETHSGD,606,606,570.95,582.7,70.98,41647.47
2018-07-11,ETHSGD,602.03,621.17,584.38,606,69.18,41414.18
2018-07-10,ETHSGD,644.35,686.94,582.63,602.03,435.79,269348.92
